frame,ball_x,2877_x,2878_x,2879_x,6718_x,12086_x,12087_x,17896_x,17897_x,17898_x,17899_x,ball_y,2877_y,2878_y,2879_y,6718_y,12086_y,12087_y,17896_y,17897_y,17898_y,17899_y,12086_vx,12086_vy,12087_vx,12087_vy,17896_vx,17896_vy,17897_vx,17897_vy,17898_vx,17898_vy,17899_vx,17899_vy,2877_vx,2877_vy,2878_vx,2878_vy,2879_vx,2879_vy,6718_vx,6718_vy,Time [s]
0,-17.67540799942294,-17.67540799942294,-21.399503858504577,-22.137414965986387,-46.49740267868245,-11.32108843537415,1.2258503401360694,-2.3795918367346953,-13.48435374149659,-9.157823129251696,-9.8706657751405,19.45446391073517,19.45446391073517,8.506222201117811,-3.8571428571428505,-0.6653133607946506,-10.142857142857148,6.142857142857142,25.42857142857143,21.999999999999993,29.142857142857146,18.66466276192615,,,,,,,,,,,,,,,,,,,,,0.0
1,-16.46893916211161,-17.54709199957786,-21.422118163752554,-22.07261019593037,-46.48342242597768,-10.971741939896193,1.1698865065680897,-2.2315263923271793,-13.461112560282547,-8.992136912959502,-9.751832326771275,18.813229707580582,19.552696148580573,8.440168678976374,-3.880113206240536,-0.6670243041761591,-10.20361264127876,6.114351259185381,25.41726481277543,22.039116431349825,29.16907374914566,18.725221170454528,,,,,,,,,,,,,,,,,,,,,0.05
2,-15.335589648273658,-17.44204813046956,-21.452782859707185,-22.01453234875855,-46.47178472759931,-10.633045668111663,1.1116197480296275,-2.0962454607079093,-13.448789684225176,-8.840003254914018,-9.648277715203537,18.210858183405037,19.637557427185097,8.370925250743667,-3.9025871992769123,-0.6684071429188362,-10.258021180523093,6.088599655475103,25.403112894644355,22.069837639751995,29.191239392144922,18.775263948048178,,,,,,,,,,,,,,,,,,,,,0.1
3,-14.275359457909156,-17.359540149097946,-21.491120121260998,-21.963021631544066,-46.46244164699285,-10.304949761198738,1.0509814263309027,-1.9732701476177459,-13.447134238368534,-8.700914490689636,-9.559412440587,17.647349338208578,19.70933534793285,8.298677583178778,-3.9245665019205616,-0.669478097667654,-10.306237093574909,6.0655060832280325,25.386222256179163,22.092365488136416,29.2095058166336,18.815143968349798,,,,,,,,,,,,,,,,,,,,,0.15000000000000002
4,-13.288248591018046,-17.298831812462915,-21.536752123306382,-21.917918251360067,-46.45534524760382,-9.987404360335486,0.9879029032823241,-1.8621215587974616,-13.455895347756702,-8.574362955860696,-9.484647003071245,17.12270317199118,19.768317512207936,8.22361134304083,-3.9460527798401004,-0.6702533890677205,-10.348414713418961,6.044974293945908,25.366699479380735,22.106901839432965,29.22402476739039,18.845214105002125,6.352902370138805,-0.8497257162702607,-1.2643159885594708,-0.41448572557237484,2.242127546773044,-0.38619225593118395,-0.16518718952566147,0.29880154312691737,2.551337273604121,0.2964488062823075,1.5188887443278785,0.6155176787549975,1.243616452704188,1.191147340866152,-0.8975270366069714,-1.493898132394304,0.9084593207551908,-0.42979218513466877,0.14384544996048018,-0.016154653802696713,0.2
5,-12.374257047600345,-17.259186877564385,-21.589301040735894,-21.87906241527963,-46.45044759287771,-9.680359606700156,0.9223155406941332,-1.7623207999878796,-13.474822137433716,-8.45984098600157,-9.423391902806015,16.636919684752847,19.81479152139448,8.145912197088945,-3.9670476987041114,-0.6707492377640321,-10.384708373039949,6.026908039130497,25.34465114625003,22.113648556571565,29.234947989193937,18.865827231647856,6.142889425581447,-0.7320465118093417,-1.3144927793512364,-0.36517503623820907,2.0151709465589205,-0.436703382576817,-0.3685007953028929,0.14300885996755747,2.31074597420774,0.22453422721741031,1.2486819993178244,0.42637747862315223,0.822348417974114,0.940984239095083,-1.0358653442886174,-1.5465562486731164,0.7835084386833862,-0.4199650040242414,0.09987055670204574,-0.01056579972798621,0.25
6,-11.533384827656086,-17.239869101402274,-21.64838904844195,-21.846294330375926,-46.447700746260026,-9.383765641470806,0.8541507003766858,-1.673388976929848,-13.503663732443629,-8.356840916686629,-9.375057639940952,16.189998876493586,19.849044976876577,8.06576581208223,-3.9875529241812147,-0.6709818644016385,-10.415272405422623,6.011211070283542,25.320183838787976,22.112807502482077,29.242427226822894,18.877336221929713,5.933873657461258,-0.6174539670432719,-1.3660423339368193,-0.31778931686917533,1.7977922315285075,-0.4850828692036758,-0.5667969019612582,-0.008746564593877827,2.080307963323997,0.15565454372588558,0.9902652513143447,0.24429475134563663,0.4158052432459006,0.6965731650061509,-1.1666471498197746,-1.595501029769658,0.6617534151490239,-0.41017113628579505,0.05685439453348602,-0.005301358553965977,0.30000000000000004
7,-10.765631931185235,-17.240142240976475,-21.713638321317017,-21.81945420372207,-46.44705677119628,-9.097572605825569,0.7833397441402545,-1.5948471953641297,-13.542169257830572,-8.264855083490254,-9.339054714625743,15.781940747213383,19.871365480038325,7.983357854779805,-4.007570121939985,-0.6709674896255945,-10.440261143551739,5.997787138906811,25.293404138995516,22.104580540094414,29.246614225055954,18.880093949490398,5.7258550657782745,-0.505948081971884,-1.418964652316047,-0.27232856746512923,1.5899914016818883,-0.5313307158120142,-0.7600755095009808,-0.1564647305574799,1.8600232409529482,0.08980975580765206,0.7436385003176074,0.06926949692242039,0.023986928519568518,0.457914118599427,-1.2898724532001793,-1.6407324756839055,0.5431942501520837,-0.4004105819193298,0.01479696345480111,-0.0003613302809544819,0.35000000000000003
8,-10.070998358187776,-17.25927005328692,-21.78467103425357,-21.798382242391185,-46.44846773113196,-8.821730640942686,0.7098140337951568,-1.526216561031557,-13.59008783863856,-8.183375821986793,-9.314793627010037,15.412745296912258,19.882040632263852,7.898873991940783,-4.02710095764902,-0.6707223340809543,-10.45982892041203,5.986539996502008,25.264418628873543,22.08916953233847,29.247660728671754,18.87445328797263,5.518833650532235,-0.3975288565952794,-1.4732597344891796,-0.22879278802612132,1.3917684570189353,-0.5754469224016693,-0.9483366179218726,-0.30014563792318777,1.6498918070944941,0.026999863462608322,0.5088017463272871,-0.0986982846465573,-0.3531065262050044,0.2250070998748705,-1.4055412544301251,-1.682250586415862,0.4278309436927076,-0.390683340924773,-0.026301736533846605,0.0042542850913118695,0.4
9,-9.449484108663746,-17.296516295333493,-21.861109362144106,-21.78291865345639,-46.45188568951259,-8.556189888000223,0.6335049311517407,-1.4670181796729316,-13.647168599911616,-8.11189546775062,-9.301684877243517,15.082412525590179,19.88135803493725,7.812499890324287,-4.046147096976941,-0.6702626184127243,-10.474130068988238,5.977373394570892,25.23333389042307,22.066776342144138,29.245718482448982,18.86076711101915,5.312809411723471,-0.2921962909135343,-1.5289275804560643,-0.18718197855215424,1.203123397539668,-0.617431488972672,-1.1315802272241418,-0.43978928669101164,1.4499136617486585,-0.03277513330906294,0.2857549893435518,-0.25960859336127623,-0.715475120927696,-0.0021478911676300755,-1.5136535535092879,-1.7200553619655596,0.3156634957706723,-0.3809894133022087,-0.06644170543268044,0.00854548756266623,0.45
