frame,ball_x,4470_x,4471_x,4472_x,4473_x,8181_x,8978_x,10382_x,12448_x,13012_x,13960_x,16185_x,ball_y,4470_y,4471_y,4472_y,4473_y,8181_y,8978_y,10382_y,12448_y,13012_y,13960_y,16185_y,10382_vx,10382_vy,12448_vx,12448_vy,13012_vx,13012_vy,13960_vx,13960_vy,16185_vx,16185_vy,4470_vx,4470_vy,4471_vx,4471_vy,4472_vx,4472_vy,4473_vx,4473_vy,8181_vx,8181_vy,8978_vx,8978_vy
0,0.07487515677932166,-21.196204643135758,-21.82078641584282,-25.657640841067106,-23.280260560559576,-12.661736105424474,-12.311583128609485,-6.862459773067023,-2.2691932435457964,1.94387068104366,5.164331299530129,-46.18275473552252,-23.74301786573524,15.023450241875166,6.540269127406587,-1.757837629567152,-21.593196223401907,-13.90615403206219,1.5591304117297526,4.452504168953656,-8.754509357480003,29.43662922168078,14.34462444771723,-3.0825517964674223,,,,,,,,,,,,,,,,,,,,,,
1,-0.07527767242390696,-21.324666288108357,-22.006661137690458,-25.75437679103304,-23.214228392388414,-12.785156914194229,-12.38044140076299,-6.9954822373003935,-2.476650948108767,1.7455605446701474,5.099656357388328,-46.18275473552252,-23.732083083016747,15.092899414795061,6.498778205050251,-1.9554725805141253,-21.521247816662477,-13.945419432536978,1.3550695674574813,4.40758149022177,-8.823757989554991,29.385748486922154,14.330633284241534,-3.0825517964674223,,,,,,,,,,,,,,,,,,,,,,
2,-0.2337145363212788,-21.45236385664714,-22.192073079192543,-25.855121289052683,-23.156951476355637,-12.914110405680574,-12.455872517136733,-7.131532869486623,-2.6867687822131763,1.5457371374083932,5.034981415246527,-46.18275473552252,-23.71685934969878,15.154266182793144,6.4539659345374,-2.146546234802738,-21.454533857558967,-13.986563054017296,1.1543582345318206,4.362284873398175,-8.890586261465668,29.333602790935842,14.316642120765827,-3.0825517964674223,,,,,,,,,,,,,,,,,,,,,,
3,-0.40028132554653706,-21.579343535307473,-22.37703262610379,-25.959792518266,-23.108292074132834,-13.04851123558188,-12.537774448330076,-7.270587827018505,-2.8995231223496916,1.3444231831605267,4.970306473104712,-46.18275473552252,-23.697422967302263,15.20770149716277,6.405924827224673,-2.3311598293166536,-21.392910648258006,-14.02950844214678,0.956937347925944,4.316612565395992,-8.95503838242388,29.28021112890333,14.302650957290131,-3.0825517964674223,,,,,,,,,,,,,,,,,,,,,,
4,-0.57482393073344,-21.705651510644728,-22.561550164178843,-26.06830866181302,-23.06811244739155,-13.188274059596395,-12.626045164942376,-7.4126232672888825,-3.114890345008993,1.14164140582879,4.905631530962889,-46.18275473552252,-23.67385023734809,15.253356309197251,6.354747394468738,-2.509414600939604,-21.33623449092636,-14.07417914256905,0.7627478426130742,4.270562813128277,-9.017158561641546,29.225592496006126,14.288659793814436,-3.0825517964674223,-2.8397551011194384,-0.9210651688301522,-4.306399512812343,-1.244171952828107,-4.054726590547455,-1.0916128506831868,-1.2934988428360783,-0.2798232695139749,0.0,0.0,-2.528006968960515,0.9191342924228758,-3.690766191688622,-1.019848200852752,-2.1670501965410587,-3.5691449078071864,0.8091020679623182,1.1392710599646296,-2.791842708223631,-0.8903558341909497,-1.7613331562216517,-3.8861527073295488
5,-0.7571882425157759,-21.83133396921431,-22.745636079172403,-26.18058790283375,-23.036274857803406,-13.333313533422483,-12.720582637573052,-7.557615347690542,-3.3328468266817013,0.9374145293153275,4.840956588821102,-46.18275473552252,-23.646217461357264,15.291381570189923,6.30052614762624,-2.6814117865552727,-21.28436168773074,-14.120498700927767,0.5717306535663949,4.224133863508176,-9.076991008330502,29.169765887425807,14.27466863033872,-3.0825517964674223,-2.8988879037447592,-0.9286491158783986,-4.35818469308098,-1.1984173022541305,-4.083628574181499,-1.1157723643463717,-1.2934988428360987,-0.2798232695139749,0.0,0.0,-2.5154966336068334,0.7665432715867175,-3.682133730058875,-1.0807244825841216,-2.2423121460155517,-3.443993187661924,0.6422613248999604,1.0432039772446848,-2.897375704455141,-0.9233329929196441,-1.8866682765889613,-3.822706382005684
6,-0.9472201515272878,-21.956437097571595,-22.92930075683918,-26.296548424468234,-23.012641567039946,-13.483544312758498,-12.821284836821501,-7.705540225616236,-3.553368943858521,0.731765277522374,4.776281646679287,-46.18275473552252,-23.61460094085062,15.321928231434123,6.243353598053814,-2.847252623047396,-21.23714854083783,-14.16839066286654,0.3838267157591091,4.177323963448755,-9.134579931702644,29.11275029834379,14.260677466863044,-3.0825517964674223,-2.957543854226137,-0.9362681246646583,-4.409497403162957,-1.1535468359177363,-4.11207607977199,-1.1395519743792346,-1.2934988428361192,-0.27982326951396985,0.0,0.0,-2.503910029360726,0.6169712766172403,-3.673708983522853,-1.1397505371824856,-2.3159377582902096,-3.320866205190701,0.47817534840596915,0.9500108511907966,-3.001201814653227,-0.9547810645210575,-2.009962808943741,-3.7604413572178412
7,-1.1447655484016739,-22.081007082271938,-23.11255458293384,-26.416108409856477,-22.997074836772764,-13.638881053302745,-12.928049733287063,-7.856374058458827,-3.7764330730301165,0.5247163743520507,4.711606704537502,-46.18275473552252,-23.579076977349153,15.345147244223172,6.183322257108124,-3.0070383472996673,-21.194451352414287,-14.217778574029023,0.19897696416441024,4.130131359863102,-9.189969540969841,29.054564723941663,14.246686303387339,-3.0825517964674223,-3.015722952563597,-0.9439221951890137,-4.460337643058147,-1.109560553818828,-4.140069107318649,-1.162951680781796,-1.293498842836165,-0.2798232695139749,0.0,0.0,-2.4932471562222247,0.4704183075143473,-3.665491952080515,-1.1969263646479154,-2.387927033365216,-3.1997639603936294,0.3168441384805374,0.8596916818026402,-3.103321038817697,-0.9847000489951543,-2.1312167532861284,-3.699357632966047
8,-1.3496703237727676,-22.20509010987075,-23.295407943211064,-26.539186042138482,-22.989436928673427,-13.799238410753528,-13.040775297569127,-8.01009300361106,-4.00201559068711,0.31629054370662274,4.646931762395694,-46.18275473552252,-23.539721872373708,15.361189559850413,6.1205246361458086,-3.160870196195799,-21.156126424626837,-14.268585980058853,0.017122333755491752,4.082554299664331,-9.243204045343937,28.995228159400924,14.232695139911643,-3.0825517964674223,-3.0734251987570254,-0.9516113274513542,-4.510705412766589,-1.0664584559573342,-4.16760765682171,-1.1859714835539337,-1.293498842836124,-0.27982326951394954,0.0,0.0,-2.483508014191479,0.32688436427812,-3.6574826357319927,-1.2522519649803798,-2.45827997124062,-3.080686453270765,0.15826769512346217,0.7722464690806418,-3.2037333769487875,-1.013089946341919,-2.250430109616178,-3.639455209250302
9,-1.561780368274282,-22.328732366923393,-23.47787122342554,-26.665699504454256,-22.989590104413548,-13.964531040809204,-13.159359500267042,-8.166673218465771,-4.230092873320212,0.10651050948819674,4.582256820253885,-46.18275473552252,-23.496611927445283,15.370206129609178,6.05505324652353,-3.3088494066194833,-21.12203005964219,-14.320736426599666,-0.16179624049442395,4.0345910297655445,-9.294327654036875,28.93475959990311,14.218703976435938,-3.0825517964674223,-3.1306505928063615,-0.9593355214518451,-4.560600712288306,-1.0242405423333825,-4.194691728280983,-1.208611382695922,-1.293498842836119,-0.27982326951394443,0.0,0.0,-2.474692603268217,0.18636944690850754,-3.649681034477214,-1.3057273381799073,-2.526996571916311,-2.963633683822064,0.0024460183348956333,0.6876752130246998,-3.302438829046505,-1.0399507565614179,-2.3676028779337592,-3.5807340860705357
