frame,ball_x,19_x,698_x,911_x,1025_x,10051_x,10052_x,10053_x,11235_x,11236_x,11237_x,ball_y,19_y,698_y,911_y,1025_y,10051_y,10052_y,10053_y,11235_y,11236_y,11237_y,stretch_index,Time [s],10051_vx,10051_vy,10051_speed,10052_vx,10052_vy,10052_speed,10053_vx,10053_vy,10053_speed,1025_vx,1025_vy,1025_speed,11235_vx,11235_vy,11235_speed,11236_vx,11236_vy,11236_speed,11237_vx,11237_vy,11237_speed,19_vx,19_vy,19_speed,698_vx,698_vy,698_speed,911_vx,911_vy,911_speed
0,3.902845456074145,21.25861690897447,6.706122448979595,9.507723054748364,4.530219312262526,2.8600156853091825,-2.1711187632738294,1.8867257715401269,-8.004081632653072,-10.472467247183076,-11.805099193175607,-32.5658088387471,-21.80548423743725,-11.142857142857153,-24.005744235293886,-29.68162980952975,-32.57413974586421,-30.516191480499035,-24.53001980081014,-29.428571428571427,-1.340667342974662,-15.436835193180295,18.66753509619292,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.2280745027502515,21.229918561327878,6.509681647065635,9.416604204573561,4.658473697180904,2.9464484081445903,-2.200057222294328,1.8593343568291603,-8.158245549922444,-10.496522406032259,-11.831887892803126,-32.396582069756064,-21.821091833614663,-11.178028260082185,-24.0427342655069,-29.963942377249932,-32.53079949615836,-30.534295978198053,-24.572206532422083,-29.459987864693588,-1.3449997472270854,-15.44874930487448,18.683137378125064,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.525369766276207,21.204285432282873,6.332002399423509,9.33558325363882,4.788862404916824,3.0323773211313463,-2.2254457741545206,1.835301916526812,-8.304157467698236,-10.517650110245551,-11.855416472495147,-32.24189011527958,-21.83631509630005,-11.210106627495513,-24.07403939665804,-30.223124706353072,-32.48859613708298,-30.55017958065279,-24.60936639390684,-29.488309841636667,-1.348804908363262,-15.459213497998977,18.698997647963886,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.79473124665212,21.18168582686076,6.172668158934377,9.264524664745583,4.921296335410555,3.117809839415246,-2.247360196728672,1.8145568341186722,-8.441988645711135,-10.535911115412265,-11.87575259188537,-32.101732975317674,-21.851048824634233,-11.23905816658057,-24.09986600520131,-30.459707738947785,-32.44751632037099,-30.563889696066614,-24.64159570712548,-29.513601580956436,-1.35209376864202,-15.468257863765494,18.715049356188082,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.036158943877919,21.162088050082595,6.031262378479385,9.203292900695246,5.055686388602636,3.2027533781421083,-2.2658762678909143,1.7970274930904517,-8.57191034369173,-10.551366177121764,-11.892963910607282,-31.976110649870314,-21.865187817757956,-11.264848798820813,-24.12042046759062,-30.67422241714257,-32.40754669775512,-30.575473732642802,-24.6689907939392,-29.535927304208673,-1.3548772703221101,-15.475912493385769,18.731234433994718,0.2,1.6991673803699756,0.799926383003314,1.8780447291633204,-0.3733525382134254,-0.23357705965682582,0.4403979570664874,-0.35345148113924896,-0.5517546107190137,0.6552565146331772,2.6842370614567246,-4.311531248237951,5.078821743931375,-2.6052843488393553,-0.4490833272746844,2.6437061813188327,-0.3115314577636192,-0.05610772395397375,0.3165437187240034,-0.3469327597821652,-0.15429624087353994,0.37969681294129265,-0.39322333471610754,-0.27857182810728476,0.4818992159988337,-2.844777493853989,-0.5144495041424081,2.890919798584968,-1.230056768951085,-0.4193443059454336,1.2995727381609852
5,5.249652857953638,21.145460406969626,5.90736851093968,9.151752424289185,5.191943464433351,3.2872153524577303,-2.28106976551552,1.7826422769277182,-8.694093821370785,-10.564076050963376,-11.90711808829457,-31.86502313893756,-21.878626874812095,-11.287444445699672,-24.135909160280004,-30.867199683045996,-32.368673920968305,-30.584979098584697,-24.69164797620905,-29.555351232949093,-1.3571663556623461,-15.482207478071466,18.747502686223903,0.25,1.6895360921457288,0.7779894664229353,1.8600537133448873,-0.30690106746006196,-0.19200364697101888,0.36201335011059627,-0.2905689838288402,-0.45699651984236306,0.5415497701147662,2.721577514230233,-3.880783002410877,4.739985324636016,-2.4505199428078632,-0.39104743703871586,2.4815249521440643,-0.25662770040613375,-0.04621939715722016,0.26075660929172473,-0.28578993908857236,-0.1271033421822056,0.3127797130220193,-0.3338206614127971,-0.26457310671518586,0.4259520662973739,-2.4945392355482556,-0.4505497969147802,2.534900612882017,-1.0362310160653567,-0.3180289119463302,1.0839359332956944
6,5.4352129888792735,21.13177120254296,5.800570009196397,9.10976769832877,5.329978462843144,3.3712031775079994,-2.293016467476644,1.771329569116145,-8.808710338478939,-10.574101492526456,-11.918282784580711,-31.768470442519348,-21.891260794937455,-11.306811028700569,-24.1465384597234,-31.03917047876664,-32.330884641743324,-30.592453202095623,-24.709663575796213,-29.57193758873348,-1.3589719669215798,-15.487172909034316,18.76381122388009,0.30000000000000004,1.680053106837866,0.7563195151857574,1.8424433914903287,-0.24196515419081516,-0.15137839835175673,0.28541645945903,-0.22911881680561447,-0.3641648661881292,0.4302458390039615,2.7571359658114294,-3.4606535987548876,4.424694573023778,-2.2991807313897437,-0.3342959779179466,2.3233565883105403,-0.20293905483539118,-0.03654991553643491,0.20620416170194633,-0.2260003110668305,-0.10051226772508262,0.24734360021141202,-0.2750518876857808,-0.2484703681391664,0.37066300700599225,-2.152631919619569,-0.38596851935595156,2.1869604201491293,-0.8451160071516738,-0.2208410470266487,0.8734940375273401
7,5.59283933665479,21.120988741823833,5.710450326130699,9.077203185615485,5.46970228377238,3.454724268438674,-2.3017921516485282,1.7630177531413898,-8.915931154746847,-10.581503257400342,-11.926525659099365,-31.686452560615717,-21.902984377274798,-11.322914469306996,-24.152514742374787,-31.190665746413032,-32.29416551181305,-30.597943451378924,-24.723133914561796,-29.585750593117567,-1.3603050463585529,-15.490838877486034,18.78012393344547,0.35000000000000003,1.670718424446363,0.734916529291963,1.8252129625912377,-0.17854479840556434,-0.11170131379887696,0.21060728511160007,-0.16910098006942004,-0.27325964975646444,0.3213502413963058,2.7909124162006833,-3.0511430372697594,4.135053318735185,-2.1512667145849713,-0.2788289499122446,2.169261178509951,-0.1504655210515843,-0.027099279091590742,0.1528863759548531,-0.16756387571657932,-0.07452301750200871,0.18338847450907578,-0.2169170135354546,-0.23026361237924675,0.31634525750685843,-1.8190555460677367,-0.3207056714659018,1.8471099608280463,-0.6567117422098991,-0.12778071118610507,0.6690278189340021
8,5.722531901280217,21.1130813298334,5.636592914623746,9.053923348950686,5.611025827161486,3.5377860403955954,-2.3074725959053497,1.7576352124890662,-9.015927529905197,-10.586342101174406,-11.931914371484126,-31.618969493226658,-21.913692420964978,-11.335720689002358,-24.154044384688117,-31.32221642809374,-32.25850318291033,-30.60149725463791,-24.73215531436691,-29.59685446765714,-1.3611765362321124,-15.493235474638253,18.796410980249696,0.4,1.6615320449713304,0.7137805087411052,1.8083615100762684,-0.11664000010453787,-0.07297239331266374,0.1375858270686508,-0.11051547362051446,-0.18428087054724682,0.21487928974011844,2.822906865397517,-2.652251317955978,3.8734016347788742,-2.006777892393907,-0.22464635302164024,2.0193126289227368,-0.0992070990546726,-0.017867487822880484,0.10080325205043934,-0.11048063303833137,-0.04913559151297874,0.12091433591547673,-0.15941603896146309,-0.20995283943570087,0.2636165174363623,-1.4938101148930572,-0.25476125324469673,1.5153784858944042,-0.47101822124041337,-0.03884790442530825,0.47261752445155997
9,5.824290682755569,21.10801727159285,5.5785812275566595,9.039792651135734,5.753859992950824,3.6203959085245994,-2.310133578121306,1.755110330644847,-9.108870723684646,-10.588678779437938,-11.934516581368538,-31.566021240352143,-21.92327972514876,-11.345195609270096,-24.151333763117368,-31.434353465917283,-32.223884306767964,-30.603162020075906,-24.736824097072684,-29.60531343390795,-1.3615973788010143,-15.494392791702756,18.812648343276333,0.45,1.6524939684128557,0.6929114535336311,1.791887998196025,-0.05625075928750485,-0.035191636892843034,0.06635208532984117,-0.053362297458640226,-0.09722852856057784,0.11090951968212423,2.853119313402382,-2.2639784408132098,3.6422367024915734,-1.8657142648161134,-0.17174818724628588,1.8736027214328859,-0.04916378884470671,-0.008854541730192494,0.04995478998873509,-0.05475058303169078,-0.02434998975802825,0.05992118443026762,-0.10254896396404993,-0.18753804930819376,0.21374473080855708,-1.1768956260953238,-0.18813526469227065,1.1918381570260013,-0.2880354442427192,0.04595737325643204,0.291678757019999
