frame,ball_x,5_x,7_x,9_x,10_x,27_x,66_x,8101_x,9623_x,9626_x,9627_x,ball_y,5_y,7_y,9_y,10_y,27_y,66_y,8101_y,9623_y,9626_y,9627_y,10_vx,10_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,7_vx,7_vy,8101_vx,8101_vy,9_vx,9_vy,9623_vx,9623_vy,9626_vx,9626_vy,9627_vx,9627_vy,Time [s]
0,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,,,,,,,,,,,,,,,,,,,,,0.0
1,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,,,,,,,,,,,,,,,,,,,,,0.05
2,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,,,,,,,,,,,,,,,,,,,,,0.1
3,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,,,,,,,,,,,,,,,,,,,,,0.15000000000000002
4,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,0.6351630411730623,0.07269056346875771,0.2798288774772979,0.1358607558941064,0.8033249082462086,0.3266353949651802,0.343426452377906,0.2085552746115736,0.753142471971192,-0.5302017570631484,0.0,-4.0602442043434304e-14,0.8230526146989398,0.6386202896447203,0.16482021379980594,-0.11502782931352891,-2.1570047335574472e-14,0.0,0.2659598904496719,-0.08905380333954685,0.2
5,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,1.2762041261624446,0.14900830251365604,0.5683197174084245,0.2422146030364709,1.5896833988586172,0.6320942502877409,0.7231178783712673,0.4253269733948174,1.4759069408053858,-1.0317682273169866,0.0,0.0,1.6463708866560722,1.2603978073395212,0.32964042759962203,-0.23005565862708827,0.0,0.0,0.5319197808993031,-0.17810760667904296,0.25
6,32.07054985852442,34.9744132833398,32.07054985852442,26.355600852231078,29.063640467978605,33.58211848041906,29.440810719764258,6.129251700680264,12.042176870748296,3.9659863945578255,15.35918367346939,-7.44768081962427,-4.675265404813835,-7.44768081962427,-7.703142478304549,1.6526040656113596,17.063947226404654,-27.970416632482742,-8.857142857142854,12.714285714285715,2.285714285714297,22.42857142857143,1.9229774769970782,0.22855489065258933,0.8653530213923741,0.31987899924452284,2.359536474059415,0.9168972139220166,1.1379883795437706,0.6499981615243555,2.1690375695755755,-1.505383655229528,0.0,0.0,2.4698341815067693,1.8657717980004944,0.49446064139942797,-0.34508348794064764,-2.1570047335574472e-14,0.0,0.7978796713490207,-0.2671614100185188,0.30000000000000004
7,32.33414972371434,35.25557700122597,32.33414972371434,26.643669267375707,29.285947532389176,33.68005858753612,29.561009978096525,6.129251700680264,12.099863945578228,3.965986394557818,15.452269635126775,-7.633251434596372,-4.560943016576022,-7.633251434596372,-7.4796253769288965,1.6780457628254248,17.11149849096759,-27.89742228636869,-8.857142857142868,12.67402597402598,2.285714285714297,22.39740259740259,2.575337315705702,0.3109320014036886,1.1708092910283647,0.36967140233586404,3.113345136070913,1.1815649338222403,1.5869520574589404,0.8822519041747818,2.8332785213549583,-1.951732285268683,4.5677747298863585e-14,1.0150610510858576e-14,3.2933218648864937,2.455181506543549,0.659280855199305,-0.46011131725415116,4.187126835729163e-14,1.268826313857322e-14,1.0638395617987788,-0.3562152133580656,0.35000000000000003
8,32.58711728780631,35.530802472940316,32.58711728780631,26.931830662560703,29.51031191213546,33.78103038151201,29.6939019771942,6.129251700680264,12.157551020408164,3.9659863945578255,15.545355596784146,-7.808799699185215,-4.454032417213126,-7.808799699185215,-7.262003245735716,1.7047569714911393,17.14872233746742,-27.821552191794556,-8.857142857142854,12.633766233766234,2.285714285714297,22.366233766233766,3.233137864317368,0.39574130828473575,1.4845690279154715,0.39240927012789334,3.8515703871152995,1.4266180579424972,2.0689230136805032,1.1217712665205275,3.4693739592167514,-2.371498361902586,4.5677747298863585e-14,1.0150610510858576e-14,4.116713302430637,3.0290661778846557,0.8241010689990296,-0.5751391465677307,5.048709793414476e-29,1.4199496293978212e-29,1.3297994522484453,-0.4452690166976022,0.4
9,32.829713007875874,35.800251049260595,32.829713007875874,27.220042815758447,29.736682584927582,33.88499203790639,29.839106652604578,6.129251700680264,12.215238095238096,3.965986394557818,15.638441558441547,-7.974565098954605,-4.3543513799411295,-7.974565098954605,-7.050122349004376,1.732598277339766,17.175904876140237,-27.742917275949218,-8.857142857142854,12.593506493506489,2.285714285714297,22.33506493506495,3.896233344860837,0.4825844848139031,1.806512733652811,0.3889100604381416,4.574673229414928,1.6525772342370713,2.582815349772065,1.3682393137364302,4.078068046234071,-2.765366129599272,5.048709793414476e-29,1.0150610510858576e-14,4.939887859774611,3.5878650569396844,0.9889212827988252,-0.6901669758812594,5.048709793414476e-29,1.4199496293978212e-29,1.5957593426980763,-0.5343228200371084,0.45
10,33.06219734099866,36.06408408096462,33.06219734099866,27.50826350494135,29.9650085284756,33.99190173227899,29.996243939874887,6.12925170068028,12.272925170068053,3.96598639455784,15.731527520098963,-8.130787119468309,-4.261717677976051,-8.130787119468309,-6.843828951014307,1.7614302661026506,17.193332217222206,-27.66162846602157,-8.85714285714285,12.553246753246762,2.2857142857143016,22.303896103896108,4.564477979365153,0.5710632045091124,2.13652090983948,0.35999123108415987,5.283114665191988,1.8599631106603225,3.1275431672973038,1.6213391109969117,4.660104945480177,-3.1340198328267097,5.048709793414476e-29,1.0150610510858576e-14,5.762724902553943,4.132017388624826,1.1537414965986517,-0.8051948051947935,5.048709793414476e-29,1.4199496293978212e-29,1.861719233147794,-0.6233766233766249,0.5
