frame,ball_x,9_x,10_x,11_x,23_x,11031_x,11032_x,11033_x,11034_x,11035_x,15849_x,ball_y,9_y,10_y,11_y,23_y,11031_y,11032_y,11033_y,11034_y,11035_y,15849_y,10_vx,10_vy,11_vx,11_vy,11031_vx,11031_vy,11032_vx,11032_vy,11033_vx,11033_vy,11034_vx,11034_vy,11035_vx,11035_vy,15849_vx,15849_vy,23_vx,23_vy,9_vx,9_vy
0,25.573330357773237,33.343930275197806,32.01871068418082,23.162790858002708,28.869110283766172,37.13605442176871,35.40544217687076,37.42448979591837,35.40544217687076,36.70340136054422,35.56316617227525,16.602925903303287,4.7188158107874765,-0.29130977554924753,6.601249459572876,17.517226157390255,-7.142857142857147,-1.4285714285714333,5.714285714285719,11.285714285714286,18.999999999999996,7.653986689373421,,,,,,,,,,,,,,,,,,,,
1,25.643204541557026,33.10699820463691,31.904613247335853,22.866037235192252,28.872008868950385,36.98862465020251,35.34652799264874,37.22022850361843,35.252985601213595,36.52635124978599,35.6043124455557,15.956921415952102,4.798851439287347,-0.3446926558862637,6.487896683985657,17.720788202119426,-7.110762023648423,-1.3728245589086188,5.741897747354432,11.444783411537422,19.26324261531599,7.617286395398227,,,,,,,,,,,,,,,,,,,,
2,25.711257052020592,32.87413808551469,31.779073304714316,22.568397636048225,28.859340704970503,36.83679001046177,35.28191250775932,37.01487188781319,35.0968619972946,36.34782412885097,35.63566754588302,15.327758758811163,4.871168000490207,-0.3982839003338927,6.376122060880764,17.91805095838846,-7.084582481159917,-1.3203861927166154,5.761216653404655,11.596697469015767,19.51547135090047,7.581462749606629,,,,,,,,,,,,,,,,,,,,
3,25.7774878891639,32.64517329733531,31.642316104919153,22.26990126858162,28.8314035336079,36.6806046464374,35.21169719093345,36.808438751319734,34.93711697581177,36.16782162453058,35.65738379314008,14.715437931880507,4.9359334443051,-0.4521830958103797,6.265834316785508,18.109115264260474,-7.064222041437952,-1.2711970047155932,5.77238407383873,11.74158473784784,19.75687683439986,7.546505194535166,,,,,,,,,,,,,,,,,,,,
4,25.84189705298695,32.41992721960312,31.49456689655352,21.970577340803466,28.788495096643864,36.5201227020205,35.13598351090218,36.60094789695535,34.77379614746345,35.986345363616216,35.669613507209775,14.119958935160115,4.993315720641051,-0.5064898292339168,6.156942178227123,18.294081957798596,-7.049584230528961,-1.2251976696258042,5.77554165005899,11.879573497732148,19.98764969346053,7.512403172720343,-2.945974223188169,-1.0901181451997095,-5.985310235123567,-2.1814937100768206,-3.207473132699578,0.29661517632479417,-1.5102148513853257,0.9223597129877709,-4.149064974599463,0.06881718049873699,-3.264592139039998,2.76490638562727,-3.629460146631982,4.623082287069044,0.25068707670728585,-0.6824627348346621,-0.8462590680291675,3.7033673932873508,-4.511986374472525,1.1543635230813896
5,25.90448454348975,32.1982232318224,31.336050928220573,21.670455060724706,28.73091313585967,36.35539832110191,35.05487293639646,36.392418127537205,34.60694512294768,35.80339697289921,35.672509007974895,13.54132176865002,5.043482779407158,-0.5613036875227445,6.0493543717329,18.47305187706594,-7.040572574479304,-1.1823288621674342,5.770831023467776,12.010792028367243,20.20798055572888,7.479146126698745,-3.161309422535165,-1.1002606425053951,-6.001277281135222,-2.1554070687937985,-3.2923218627320234,0.18409207913822404,-1.618152740873313,0.8597491603594826,-4.169843275674216,-0.08854687573070205,-3.3351960623875447,2.629501800642799,-3.6589027426839285,4.414242351222585,0.06400281061613908,-0.6655632189706522,-1.1397295444323112,3.5834319078719847,-4.441144575443445,1.0100591716840488
6,25.96525036067232,31.97988471349742,31.166993448523332,21.36956363635634,28.658955393036592,36.18648564757271,34.96846693614739,36.18286824588251,34.43660951296273,35.618978079171,35.66622261531827,12.97952643235017,5.0866025705124365,-0.6167242575950741,5.9429796238300865,18.646125860125636,-7.037090599335324,-1.1425312570606627,5.758393835467435,12.135368609451634,20.41806004885128,7.446723499006882,-3.3721396498203915,-1.1123948781755852,-6.016660166926917,-2.1311458969652817,-3.3760877149449335,0.07349846102407548,-1.7240612557412962,0.7983251133271387,-4.190245520404992,-0.24307810391339352,-3.404887771771773,2.4966628096287176,-3.688312802907956,4.209214968304044,-0.11963505781815394,-0.6488748523758783,-1.4272451852093784,3.4655131837190316,-4.37383518632906,0.8691138184677729
7,26.02419450453465,31.764735044132422,30.987619706064958,21.06793227570946,28.572919609955964,36.01343882532386,34.87686697888589,35.972317054808556,34.26283492820676,35.433090309223026,35.6509066491228,12.434572926260607,5.122843043865963,-0.6728511263691459,5.837726661045989,18.813404745040827,-7.039041831143469,-1.1057455290257134,5.738371727460277,12.253431520683831,20.618078800474162,7.415124732181289,-3.578464905043382,-1.1265208522100725,-6.031458892498592,-2.1087101945913846,-3.458770689338146,-0.035165678017615894,-1.8279403959889504,0.7380875718907668,-4.210271708791526,-0.3947765040493044,-3.4736672671921554,2.3663894125851925,-3.7176903273042887,4.008000138313272,-0.3002265285954512,-0.6323976350504397,-1.7088059903606734,3.3496112208286632,-4.310058207129046,0.7315274634325216
8,26.08131697507671,31.552597603231703,30.798154949448545,20.765590186794924,28.473103528399076,35.8363119982463,34.78017453334308,35.76078335713245,34.085666979377955,35.245735289846614,35.62671342927135,11.906461250381327,5.152372149376764,-0.729783880763152,5.733504209907827,18.97498936987462,-7.046329795950045,-1.0719123527827998,5.710906340848687,12.365109041762402,20.808227438243893,7.384339268758499,-3.7802851882043798,-1.1426385646090358,-6.045673457850426,-2.0880999616721034,-3.5403707859119034,-0.14190033798692114,-1.9297901616164783,0.6790365360503648,-4.22992184083398,-0.5436420761384497,-3.541534548649098,2.238681609512183,-3.747035315872721,3.810597861250418,-0.47777160171583377,-0.6161315669942268,-1.9844119598859318,3.2357260192007584,-4.249813637843361,0.5973001065783631
9,26.136617772298525,31.343295770299516,30.59882442727718,20.462566577623804,28.35980489014722,35.65515931023104,34.67849106824987,35.548285955671446,33.90515127717448,35.05691464783318,35.59379527564666,11.395191404712303,5.1753578369539275,-0.7876221076953476,5.630220996942915,19.13098057269012,-7.058858019801491,-1.0409724030521168,5.676139317034967,12.470529452385819,20.988696589806885,7.354356551275072,-3.977600499303517,-1.1607480153724343,-6.05930386298228,-2.0693151982074727,-3.6208880046659013,-0.24670551888365252,-2.029610552623718,0.6211720058058936,-4.249195916532214,-0.6896748201808044,-3.608489616142235,2.113539400409644,-3.776347768613114,3.617008137115392,-0.6522702771793625,-0.6000766482073262,-2.2540630937851645,3.123857578835357,-4.193101478472464,0.46643174790525455
