frame,ball_x,5_x,10_x,11_x,14_x,27_x,66_x,68_x,7621_x,ball_y,5_y,10_y,11_y,14_y,27_y,66_y,68_y,7621_y,10_vx,10_vy,11_vx,11_vy,14_vx,14_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,68_vx,68_vy,7621_vx,7621_vy
0,12.330612244897956,31.056496733595676,12.330612244897956,32.521088435374146,27.329251700680263,21.11555807413344,15.9360544217687,5.985034013605437,20.118367346938783,17.42857142857143,20.997244625231573,17.42857142857143,12.142857142857146,-0.5714285714285791,11.867098211959133,-27.857142857142858,0.8571428571428541,31.71428571428571,,,,,,,,,,,,,,,,
1,12.82140731823611,30.935272649733584,12.428047225846857,32.29669722551298,27.356594088243025,21.31476404214861,16.188569791808924,6.069851257583791,20.028644354066728,15.771903105106063,20.879478831175646,17.404512863708888,12.097053809327575,-0.773761611712064,11.761515117011035,-27.95139763521881,0.8192267077052222,31.777247090833225,,,,,,,,,,,,,,,,
2,13.3024836772507,30.818491069316416,12.533734576653435,32.085872994777205,27.382900234624802,21.504206758797295,16.436229097718673,6.155302361142592,19.947788094024112,14.148040094976643,20.759392239371778,17.374519974620554,12.047916767099077,-0.9679543150116802,11.660952588498649,-28.030596070949134,0.7808919717522076,31.833719770362023,,,,,,,,,,,,,,,,
3,13.773841321941788,30.706166381649272,12.647515463695102,31.888362684157553,27.408190105071668,21.684224645531557,16.679225332838207,6.241389568792668,19.875627872924024,12.556982398183179,20.637069912099317,17.33870275869539,11.995529506969609,-1.1543837129370271,11.56523659962296,-28.09517838999568,0.7421371670596386,31.883828667080845,,,,,,,,,,,,,,,,
4,14.23548025230933,30.598312976037313,12.769231053349234,31.70391323464482,27.432483664829498,21.855156123803376,16.91775149050767,6.328115125044976,19.81199299687961,10.998730014725652,20.512596911637562,17.29717121332239,11.939975519737112,-1.333426837097772,11.474193123585016,-28.145584818020335,0.702960811403353,31.927698695198263,2.4279584481786487,-0.8262310119008122,-3.699111350624641,-1.1077401127315867,0.4866698049964363,-3.595943747599937,3.432166423517324,-1.8278305927192302,-2.156492540033475,-2.4860575180622893,4.778242886996919,-1.0257375869664387,1.7346009054812885,-0.7835864020922942,-1.2795252763637115,0.8823971306957846
5,14.687400468353369,30.494945241785672,12.898722511993242,31.532271587229715,27.455800879144366,22.0173396150648,17.152000564067286,6.415481274410343,19.75671277200395,9.473282944604087,20.386058300265844,17.25003533589053,11.88133829619957,-1.5054607191035236,11.38764813358576,-28.182255580684867,0.663361422559208,31.965454768923024,2.583475827976151,-0.9383176530779938,-3.442955308671551,-1.1694048388328526,0.46714289613650595,-3.455758904500091,3.2572066833091835,-1.7378608719449822,-2.0667791128269943,-2.5273697362616936,4.692701204799618,-0.751024279764729,1.7474127677428464,-0.7920470658499789,-1.11243225298799,0.760118042842259
6,15.129601970073876,30.39607756819952,13.035831006004504,31.373184682903027,27.478161713262203,22.17111354076785,17.382165546857195,6.50349026139971,19.709616504410214,7.980641187818455,20.257539140263475,17.19740512378878,11.819701327154913,-1.6708623905638964,11.30542760282623,-28.205630903651183,0.623337518302998,31.997221802463805,2.7358165353216686,-1.0482043464755313,-3.1918604469033536,-1.2293997489750803,0.4480152921963613,-3.323114693592775,3.0890153721414033,-1.651371687150781,-1.9767778995178173,-2.566980708874686,4.611019389406192,-0.4851154857999416,1.7602695202221115,-0.8005373740910174,-0.9487531073500576,0.6403372391622497
7,15.56208475747082,30.30172434458396,13.180397701760484,31.22639946265552,27.499586132429016,22.316816322364502,17.608439432217622,6.5921443305238885,19.670533500211484,6.5208047443687756,20.127124493909772,17.139390574406146,11.75514810340109,-1.8300088830885572,11.227357504507403,-28.21615101258111,0.5828876164105511,32.023124710029236,2.8849805702151246,-1.155891092093516,-2.9458267653199193,-1.2877248431581683,0.4292869931758401,-3.198011114878109,2.9275924900141246,-1.5683630383365457,-1.8864889001056797,-2.60489043590138,4.533197440816496,-0.22801120507212747,1.7731711629191236,-0.8090573268153955,-0.7884878394496195,0.5230547196555437
8,15.984848830544278,30.211899960244136,13.33226376563851,31.091662867477936,27.520094101890802,22.454786381306825,17.83101521348879,6.681445726293787,19.63929306552093,5.093773614255056,19.994899423484053,17.07610168513159,11.687762115736076,-1.983277228287096,11.153263811830291,-28.214256133136466,0.5420102346577296,32.043288405828015,3.030967932656741,-1.2613778899318255,-2.704854263921398,-1.3443801213821716,0.41095799907516545,-3.080448168355916,2.7729380369272856,-1.4888349255022857,-1.7959121145907728,-2.64109891734163,4.459235359030669,0.02028856241898727,1.7861176958337082,-0.8176069240231126,-0.6316364492867267,0.40827048432253676
9,16.397894189294185,30.12661880448518,13.49127036401602,30.96872183836103,27.53970558689353,22.585362139046786,18.05008588401084,6.771396693220331,19.615724506451592,3.699547797477277,19.860948991265637,17.00764845335412,11.617626854957798,-2.1310444577691516,11.082972497995875,-28.200386490979113,0.5007038908203515,32.05783780406881,3.1737786226462252,-1.3646647399905727,-2.4689429427076797,-1.3993655836471264,0.3930283098941344,-2.970425854026266,2.625052012880806,-1.4127873486480063,-1.7050475429730478,-2.6756061531956115,4.389133144048631,0.25978381667308814,1.799109118966027,-0.8261861657142802,-0.47819893686140946,0.2959845331628636
10,16.801220833720592,30.045895266612284,13.657258663270396,30.85732331629558,27.558440552683212,22.7088820170365,18.26584443712398,6.861999475814361,19.599657129116657,2.338127294035429,19.725358259533834,16.93414087646266,11.54482581186425,-2.2736876031443654,11.016309536205169,-28.174982311770925,0.45896710267425017,32.066897818960285,3.313412640183791,-1.465751642269605,-2.238092801678775,-1.4526812299530079,0.375497925632869,-2.8679441718892016,2.4839344178746456,-1.3402203077738406,-1.6138951852527077,-2.7084121434632533,4.322890795870486,0.490474557690419,1.8121454323158483,-0.8347950518887873,-0.32817530217370866,0.18619686617664605
11,17.194828763823455,29.969743735930543,13.830069829779093,30.75721424227233,27.576318964505806,22.825684436727926,18.478483866168403,6.9532563185867735,19.590920239629256,1.0095121039295407,19.58821229056799,16.85568895184625,11.469442477253352,-2.4115836960223427,10.953100899659216,-28.13848382117369,0.41679838799526353,32.07059336471115,3.449869985269263,-1.5646385967691752,-2.0123038408347225,-1.5043270602997638,0.3583668462913993,-2.773003121944664,2.349585251909027,-1.2711338028796146,-1.5224550414294669,-2.7395168881445127,4.260508314496109,0.7123607854708778,1.8252266358835354,-0.8434335825466474,-0.18156554522357332,0.07890748336387385
12,17.5787179796028,29.898178601745105,14.00954502991942,30.668141557282027,27.593360787607313,22.93610781957308,18.688197164484308,7.045169466048453,19.589343144102457,-0.28629777284039704,19.44959614664738,16.77240267689383,11.391560341923075,-2.545109768012717,10.893172561558957,-28.091331244849286,0.3741962645592099,32.069049355530026,3.5831506579028174,-1.6613256034890307,-1.7915760601755437,-1.5543030746875375,0.3416350718696241,-2.6856027041926414,2.2220045149837375,-1.2055278339653697,-1.4307271115034275,-2.7689203872394024,4.201985699925522,0.925442500014455,1.8383527296689046,-0.8521017576878757,-0.038369666011094795,-0.025883615275351546
13,17.95288848105858,29.831214253361072,14.19552543006883,30.589852202315456,27.609585987233707,23.040490587023974,18.895177325411865,7.137741162710257,19.594755148649416,-1.5493023362743894,19.309594890051336,16.684392048994418,11.31126289667136,-2.674642850725117,10.836350495105386,-28.033964808459537,0.33115925014192243,32.06239070562563,3.713254658084278,-1.7558126624293633,-1.5759094597011674,-1.602609273116085,0.3253026023676344,-2.6057429186332275,2.1011922070989892,-1.1434024010311052,-1.3387113954744883,-2.796622640747951,4.147322952158744,1.1297197013210993,1.8515237136718705,-0.8607995773124838,0.1014123354639399,-0.12817642974123292
14,18.317340268190875,29.768865080083646,14.387852196604726,30.52209311836337,27.625014528631006,23.139171160532662,19.09961734229126,7.230973653083126,19.606985559383233,-2.7795015863724357,19.168293583059192,16.591767065536935,11.228633632296173,-2.8005599757691897,10.782460673499537,-27.966824737666304,0.28768586251922446,32.05074232920659,3.840181985813819,-1.8480997735899907,-1.3653040394116642,-1.6492456555856698,0.3093694377853291,-2.533423765266275,1.987148328254509,-1.084757504076776,-1.2464078933429634,-2.822623648670149,4.096520071195815,1.3251923893909021,1.8647395878924322,-0.869527041420473,0.2377804592013481,-0.22797096003348616
15,18.672073340999603,29.711145471217936,14.586366495904496,30.464611246416496,27.63966637704517,23.232487961551133,19.301710208462723,7.3248691816779035,19.625863682417048,-3.9768955231345227,19.025777287950262,16.49463772391043,11.143756039595438,-2.9232381747545206,10.731329069942412,-27.890351258131407,0.2437746194669731,32.03422914048164,3.963932641091275,-1.9381869369710358,-1.159759799306944,-1.6942122220960898,0.2938355781227691,-2.468645244091908,1.879872878450399,-1.0295931431026568,-1.1538166051086207,-2.8469234110060575,4.049577057036718,1.5118605642239251,1.8780003523308153,-0.8782841500117748,0.3707347052011098,-0.32526720615245663
16,19.017087699484847,29.65806981606911,14.790909494345517,30.417153527465622,27.6535614977222,23.320779411531433,19.5016489172664,7.419429993005486,19.65121882386397,-5.141484146560678,18.882131067003854,16.39311402150384,11.056713609367169,-3.0430544792907814,10.682781657634989,-27.80498459551673,0.19942403876098214,32.01297605365938,4.084506623916795,-2.0260741525724666,-0.9592767393871479,-1.7375089726474562,0.27870102337994396,-2.4114073551101636,1.7793658576867293,-0.9779093181084063,-1.0609375307714077,-2.8695219277554833,4.00649390968141,1.6897242258199745,1.8913060069868135,-0.8870709030865538,0.5002750734633565,-0.420065168097819
17,19.352383343646544,29.609652503942247,15.001322358305233,30.3794669025015,27.666719855908077,23.40438393192558,19.699626462042517,7.514658331576713,19.68288028983713,-6.273267456650874,18.737439982499282,16.287305955706163,10.967589832409265,-3.160385920987562,10.636644409778297,-27.71116497548411,0.1546326381770845,31.987107982948565,4.201903934290299,-2.1117614203943242,-0.7638548596521538,-1.7791359072397686,0.26396577355687406,-2.361710098320919,1.685627265963591,-0.9297060290941366,-0.9677706703313353,-2.8904191989186097,3.9672706291299114,1.858783374179193,1.9046565518605212,-0.8958873006446448,0.6264015639878856,-0.5123648458697667
18,19.677960273484693,29.565907924142525,15.21744625416104,30.3512983125149,27.679161416848775,23.483639944185565,19.895835836131255,7.610556441902559,19.720677386449644,-7.372245453405114,18.59178909671587,16.177323523906388,10.87646819951972,-3.2756095314545104,10.592743299573286,-27.609332623695316,0.10939893549114231,31.95674984255779,4.316124572211782,-2.1952487404364414,-0.5734941601019932,-1.8190930258730122,0.24962982865351896,-2.3195534737241768,1.5986571032807413,-0.8849832760598427,-0.8743160237885255,-2.909615224495385,3.9319072153823242,2.0190380093015596,1.9180519869518418,-0.9047333426860616,0.7491141767750418,-0.6021662394682993
