frame,ball_x,424_x,3410_x,3411_x,3412_x,3413_x,6670_x,6671_x,6672_x,6673_x,7420_x,14592_x,ball_y,424_y,3410_y,3411_y,3412_y,3413_y,6670_y,6671_y,6672_y,6673_y,7420_y,14592_y,14592_vx,14592_vy,3410_vx,3410_vy,3411_vx,3411_vy,3412_vx,3412_vy,3413_vx,3413_vy,424_vx,424_vy,6670_vx,6670_vy,6671_vx,6671_vy,6672_vx,6672_vy,6673_vx,6673_vy,7420_vx,7420_vy
0,12.330612244897956,21.563294627776127,19.829931972789126,15.647619047619045,8.436734693877547,6.561904761904762,29.780952380952375,32.23265306122448,31.655782312925172,29.925170068027203,49.198893099883385,27.617687074829934,17.42857142857143,4.443824747839355,22.85714285714285,14.000000000000012,9.857142857142858,-8.857142857142854,-14.142857142857142,-0.8571428571428541,8.285714285714285,16.0,0.5823566585276296,25.14285714285714,,,,,,,,,,,,,,,,,,,,,,
1,12.82140731823611,21.415935759526818,19.737288048312195,15.489809813101665,8.575039190166923,6.644013592609691,29.691556088195806,32.08608150799732,31.529999780547218,29.78770786662624,49.26897555760038,27.556444305028926,15.771903105106063,4.0979165575131695,22.69507790688857,13.80419066570918,9.832525716920353,-8.891686323241581,-14.148082642124493,-0.9210302194722808,8.247185698665172,15.913626162414236,0.5811707702526874,25.14406535493108,,,,,,,,,,,,,,,,,,,,,,
2,13.3024836772507,21.280813212559018,19.657824450913616,15.350377562809536,8.713110574942244,6.737295771672134,29.60488754175782,31.94923192542842,31.414785648608888,29.66223860840288,49.33016950848501,27.504082210818993,14.148040094976643,3.766411798343949,22.533025479273977,13.61436800884467,9.807950068760553,-8.928923480348244,-14.171339961970816,-0.985118933020889,8.205517619742485,15.825440029144445,0.5801352873199431,25.138553933703268,,,,,,,,,,,,,,,,,,,,,,
3,13.773841321941788,21.15769498927333,19.59120835734163,15.228825139424387,8.850956928386982,6.841364005034946,29.520889584523186,31.82191263590465,31.309923390804357,29.548499332902942,49.38288519131412,27.460402400144766,12.556982398183179,3.448929675481446,22.371011251878254,13.430368161697437,9.783414474452677,-8.96876095891178,-14.211861331369532,-1.0494941044900312,8.16078175186524,15.735483438598727,0.5792432679443422,25.126467393797732,,,,,,,,,,,,,,,,,,,,,,
4,14.23548025230933,21.046349092070308,19.537106944344522,15.124655385627925,8.988586330684466,6.955830998640873,29.43950505937663,31.703931961812902,31.215196480827842,29.446227079672216,49.42753284486456,27.425206480950973,10.998730014725652,3.1450893940754394,22.20906090228056,13.252027256558511,9.758917495786084,-9.011105389381228,-14.268878979294044,-1.1142408405810502,8.113049797952371,15.643798229185158,0.5784877703409026,25.107950249838495,-0.7118540660867821,-0.36456229422372277,-1.0953411900121677,-3.2379798887868003,-2.103281368658801,-3.573372811138868,2.7529112532865283,-0.4899971017605508,2.2738481098308245,-0.8431538273493188,-2.2361978480379663,-6.092037422128641,-1.6299767875420197,-1.1096421174272664,-2.3672805863607693,-1.298338989874646,-1.9031992517627976,-0.9517709614979782,-2.055963482782579,-1.8320306519485334,0.9093626220842816,-0.015387623469966166
5,14.687400468353369,20.946543523350492,19.495187388670537,15.037371144101982,9.126006862018183,7.080309458432738,29.360676809202875,31.59509822553999,31.130388392373504,29.3551588882565,49.46452270791327,27.398296061182375,9.473282944604087,2.8545101592757542,22.04720010806007,13.07918142571886,9.734457694550022,-9.055863402205595,-14.34162513471782,-1.1794442479953082,8.062393460922912,15.55042623931177,0.5778618527245601,25.08314701644958,-0.5461440775833332,-0.4902840828172218,-0.8517040435499518,-3.2361887812425443,-1.7655711232491502,-3.4634713251531224,2.7487338340105687,-0.4892535531497139,2.4740774335497506,-0.891425474447602,-2.00539127837337,-5.826816490002795,-1.5788512880860137,-1.4242122674118207,-2.184341829983499,-1.3074724163393983,-1.7048228213189072,-1.0102586238304538,-1.8318822464824385,-1.8657662611442405,0.7562068120491613,-0.01279602372766586
6,15.129601970073876,20.858046285514504,19.46511686706789,14.966475257528252,9.263226602571493,7.214412090353381,29.28434767688664,31.495219749472806,31.055282599135563,29.27503179820162,49.494265019237076,27.379472748783662,7.980641187818455,2.5768111762321118,21.885454546795987,12.911666801469488,9.710033632533785,-9.10294162783389,-14.42933202661423,-1.2451894334341624,8.00888444369579,15.45540930738673,0.5773585733102987,25.05220220825502,-0.38440193018571117,-0.6131155789302463,-0.6147233621226379,-3.2338841221147057,-1.4378040242045942,-3.3568471933475665,2.7447180184028745,-0.4885387687531661,2.6665608761248065,-0.9378297305258799,-1.779224660697421,-5.569211454881415,-1.5288689309353944,-1.7234269968646845,-2.0052366258689194,-1.3183079768312564,-1.5107769169913503,-1.067312227783318,-1.6130602192663548,-1.898665102178317,0.6112557775514103,-0.010343259685889892
7,15.56208475747082,20.78062538096284,19.446562556284867,14.911470568588465,9.400253632527832,7.3577516003455505,29.210460505312668,31.404104855998213,30.989662574808193,29.2055828490533,49.517170017612884,27.36853815169956,6.5208047443687756,2.3116116500943305,21.72384989606747,12.749319516101409,9.685643871526665,-9.152246696715116,-14.531231883956686,-1.3115615035989803,7.952594449189992,15.358789271818013,0.5769709903131415,25.015260339878836,-0.22662762389362204,-0.7330567825627046,-0.3843991457301854,-3.231065911403458,-1.119980071525047,-3.253500415722078,2.7408638064633095,-0.48785274857079075,2.8512984375558634,-0.9823665955843351,-1.5576979950100776,-5.319222316764394,-1.4800297160901112,-2.0072863057858723,-1.82996497401698,-1.3308456713501642,-1.3210615387798945,-1.1229317733567206,-1.3994974011343484,-1.9307271750509818,0.47450951859139373,-0.008029331344473636
8,15.984848830544278,20.714048812096138,19.43919163306971,14.871859919964463,9.537096032070622,7.509940694352104,29.1389581373657,31.321561867503096,30.9333117930856,29.146549080357385,49.533647941817584,27.36529387787476,5.093773614255056,2.058530786012191,21.56241183345368,12.591975701905588,9.661286973317953,-9.203685239298242,-14.64655693571863,-1.3786455651910703,7.893595180324513,15.260607971013751,0.5766921619480043,24.972465925945052,-0.07282115870714687,-0.8501076937147797,-0.16073139437277661,-3.2277341491086275,-0.8120992652103657,-3.1534309922767223,2.7371711981920703,-0.48719549260274514,3.0282901178431154,-1.0250360696227847,-1.3408112813114719,-5.076849075651672,-1.4323336435503158,-2.275790194175349,-1.658526874427843,-1.3450854998960948,-1.1356766866846917,-1.1771172605504987,-1.191193792086429,-1.9619524797620915,0.345968035168929,-0.005854238703637549
9,16.397894189294185,20.65808458131492,19.442671274170692,14.847146154337928,9.67376188138325,7.670592078315816,29.06978341593043,31.2473991063743,30.886013727661915,29.097667531659656,49.544109030628,27.369541535253994,3.699547797477277,1.8171877891354535,21.40116603653383,12.439471491173022,9.636961499696945,-9.257163886032302,-14.774539410873455,-1.4465267249118288,7.831958340018324,15.160907243382034,0.5765151464298817,24.92396348107768,0.07701746537354172,-0.964268312386238,0.05627989194968962,-3.223888835230265,-0.514161605260744,-3.0566389230114903,2.733640193589,-0.48656700084886684,3.197535916986533,-1.065838152641305,-1.128564519601391,-4.842091731543394,-1.3857807133158162,-2.5289386620331196,-1.4909223271013154,-1.361027462469172,-0.9546223607057411,-1.2298686893648834,-0.9881493921226687,-1.9923410163116115,0.22563132728407703,-0.0038179817632436434
