frame,ball_x,262_x,263_x,264_x,2749_x,2750_x,2751_x,2752_x,2753_x,2754_x,3271_x,11156_x,ball_y,262_y,263_y,264_y,2749_y,2750_y,2751_y,2752_y,2753_y,2754_y,3271_y,11156_y,stretch_index,Time [s],11156_vx,11156_vy,11156_speed,262_vx,262_vy,262_speed,263_vx,263_vy,263_speed,264_vx,264_vy,264_speed,2749_vx,2749_vy,2749_speed,2750_vx,2750_vy,2750_speed,2751_vx,2751_vy,2751_speed,2752_vx,2752_vy,2752_speed,2753_vx,2753_vy,2753_speed,2754_vx,2754_vy,2754_speed,3271_vx,3271_vy,3271_speed
0,12.440841015378522,-10.167346938775518,-10.744217687074833,-10.600000000000001,7.138775510204085,13.051700680272116,13.772789115646251,4.9755102040816235,-1.453442859577076,4.110204081632645,-10.167346938775518,-41.95110731939436,24.284477301458683,23.71428571428571,1.5714285714285683,-7.2857142857142865,27.0,19.28571428571429,11.285714285714286,20.142857142857135,11.396210021750795,-6.285714285714293,15.857142857142852,-0.3408267973770853,18.475764150631885,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.862067975786655,-9.987452003490016,-10.678158087192926,-10.533804926809328,7.26753518915237,13.084141436229354,13.735292301909412,5.035158324491713,-1.39208209626636,4.303308480609179,-10.229109527585921,-41.95254013610206,23.207248568666166,23.768739551144506,1.6110049212802584,-7.2340504588668075,27.064395637175327,19.226961153104707,11.219285838575482,20.111077889103086,11.117054089644311,-6.390910606135076,15.800841343918478,-0.3087574086955624,18.44011722364689,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.289600634680625,-9.81782138797715,-10.618001657172961,-10.475781464969756,7.393608579803142,13.115184633516275,13.698161297155217,5.09090980351991,-1.3354783078900647,4.484011771469897,-10.286233670156758,-41.95848203216222,22.141756180044176,23.818212370510004,1.6486047977291363,-7.1862153163669475,27.125420508658014,19.168654592803026,11.152646015963196,20.078073329274893,10.84860532240572,-6.495748639379804,15.749753194285137,-0.2788078036432074,18.40810433282899,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.723438992060427,-9.658372622623936,-10.563719999907798,-10.42581776383344,7.517014226625313,13.144841464879978,13.661392352543277,5.142794176088036,-1.2836676010580343,4.6524187311328635,-10.33897321240968,-41.96884684682291,21.088000135592676,23.86271577136809,1.6841904993791135,-7.142191366171215,27.18310265827923,19.11079102830762,11.085796984070619,20.043854020393667,10.590574875786185,-6.600229457184025,15.703615625662305,-0.2509374768003465,18.37959056913325,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.16358304792605,-9.509023237817242,-10.515284718290278,-10.383801972752593,7.637770674087825,13.173123123067413,13.624981719233132,5.190840977118103,-1.2366860823802182,4.808634136516048,-10.38758200026643,-41.98354841933215,20.045980435311666,23.902261352704627,1.7177243248340437,-7.1019611162363,27.237470129870132,19.053366883116876,11.018740909090917,20.008430519480523,10.342673905536765,-6.704354131283303,15.662165855469473,-0.22510592274726718,18.354444766881713,0.2,-0.2905850201065009,0.5182512978477413,0.5941582799483347,2.990286480656086,0.7913755861656872,3.093232702978171,0.9698415166372293,0.6691684532541458,1.1782949487389593,0.8447898475280826,0.8053046804335725,1.1671270345659635,2.415870728007078,1.0884711850649404,2.649754874541818,0.5660808736277849,-1.1486259638798655,1.2805425258015237,-0.728362619820691,-1.3410348518668562,1.5260689957775897,0.9621174174783345,-0.708047737418807,1.1945716903891,0.9381861091624677,-4.969573174944232,5.0573560994407645,3.128499184383675,-2.0825363514076067,3.7582528921858662,-0.9823295940027927,-0.8395067070776665,1.2921853359646513
5,9.610032802277491,-9.369690763944039,-10.472667415213209,-10.34962224107947,7.7558964666595855,13.200040800825533,13.588925648384357,5.235079741532031,-1.194569858466369,4.952762764537475,-10.432313879648675,-42.00250058893799,19.01569707920117,23.93686071350548,1.7491685726978385,-7.065507074518805,27.288550967261916,18.996378580729168,10.951479957217261,19.97181338355656,10.10461356740858,-6.808123733413196,15.625141101126097,-0.20127263606437765,18.33253974351736,0.25,-0.37559696203846976,0.47828595044463534,0.6081369321832508,2.7899482619862934,0.6924511754522605,2.874595612420216,0.8534819458279839,0.627376901431219,1.0592606894923267,0.6880686593740089,0.7297805160851769,1.003004527243169,2.3632576301922037,1.0227385010823093,2.575069060871525,0.5388012650418768,-1.1399091078192518,1.2608328903149733,-0.7212713705937442,-1.3451323897456289,1.5263071564992954,0.8859566851551495,-0.7319204376352773,1.1491852657423505,0.8408802138821513,-4.772760532519646,4.846268939594222,2.8867636371479626,-2.0754349120197113,3.555395107549933,-0.9047914245130173,-0.7510063900883576,1.1758648390975222
6,9.062788255114782,-9.240292731391248,-10.43583969356943,-10.323166718166261,7.8714101488095265,13.225605690901372,13.553220391156467,5.275540004251711,-1.1573550359263993,5.084909392115107,-10.473422696478117,-42.02561719488847,17.997150067261185,23.96652545275654,1.778485541574347,-7.032811748975349,27.3363732142857,18.939822544642848,10.884016294642855,19.934013169642856,9.876105017152732,-6.911539335309235,15.592278580051662,-0.17939711133195574,18.313752524054888,0.30000000000000004,-0.4588856889312711,0.43913071143488264,0.6351471146366277,2.5912594355774083,0.5937587444563721,2.658415864586908,0.7376903171620138,0.5848313216859596,0.9413897592705898,0.5335844841758279,0.6546061926045887,0.8445245225270017,2.3110154217558003,0.9575666937229346,2.50154477323925,0.5117455113957853,-1.131263781791095,1.2416284518429916,-0.7142550981756303,-1.3491866037608244,1.5265860070882173,0.8103866512703104,-0.7555819974296236,1.1079849635247074,0.7428521864045503,-4.581724775072965,4.641554834897831,2.647123628272386,-2.0683549073428456,3.3593683224807593,-0.8323301734572245,-0.667761724709511,1.0670891427778442
7,8.521849406437852,-9.120746670545888,-10.404773156251803,-10.304323553365172,7.984330265006562,13.249828986041841,13.51786219870901,5.312251300199041,-1.1250777213702123,5.205178796166932,-10.511162296676495,-42.052812076431636,16.99033939949168,23.991267169443702,1.8056375300675194,-7.003857647562536,27.38096491477273,18.883695198356335,10.816352087560887,19.895040434760553,9.656859410520314,-7.014602008706955,15.563315509665669,-0.15943884313037585,18.2979645417395,0.35000000000000003,-0.5404512007849048,0.4007855808184143,0.6728421673927691,2.394220001429872,0.4952982931778292,2.4449150935097372,0.6224666306393648,0.5415317140184644,0.8250583637218033,0.38133732193333203,0.5797817099914606,0.6939488340936296,2.259144102697948,0.8929557629869781,2.4292184075143535,0.48491361268939875,-1.1226899857954158,1.2229366361250265,-0.7073138025664756,-1.3531974939123361,1.5269041465762263,0.7354073158241167,-0.7790324168019578,1.0713148120864993,0.6441020267297289,-4.39646590260432,4.443397332402287,2.409579157756591,-2.0612963373772075,3.1709642552352513,-0.7649458408354498,-0.589772710941102,0.9659057873220711
8,7.987216256246796,-9.010970111794814,-10.379439406153132,-10.292980896028425,8.094675359719641,13.27272187899401,13.482847322201602,5.345243164296015,-1.097774021407607,5.313675753610966,-10.545786526165477,-42.08399907281552,15.995265075892696,24.011097462552797,1.830586836781185,-6.978627278236996,27.422354112554135,18.82799296536797,10.748489502164512,19.85490573593074,9.446587903262435,-7.117312825341975,15.537989107387553,-0.14135732603994,18.28506180865736,0.4,-0.6202934975993708,0.36325055859523026,0.7188289027882834,2.19882995954337,0.3970698216169259,2.234394243240077,0.5078108862599808,0.49747807842867814,0.7108841922009781,0.2313271726466175,0.5053070682459649,0.5557404916181745,2.207643673018446,0.8289057088744199,2.358129610776935,0.4583055689226103,-1.1141877198322243,1.204764819178585,-0.7004474837661535,-1.3571650602002294,1.5272601867863342,0.6610186788162459,-0.802271695752168,1.039512177681933,0.5446297348576673,-4.216983915113588,4.252008335882922,2.174130225600701,-2.0542592021224895,2.991124054160155,-0.7026384266477033,-0.5170393487832061,0.8723705902838093
9,7.458888804541535,-8.910880585525057,-10.359810046166256,-10.289026895508217,8.202463977417672,13.2942955625048,13.448172012793746,5.374545131464519,-1.075480042648472,5.410505041365232,-10.577549230866786,-42.11909202328817,15.011927096464197,24.026027931069734,1.8532957603192222,-6.957103148955341,27.46056885146104,18.772712269176143,10.680430704646907,19.813619630174525,9.245001651130183,-7.2196728569498,15.516036590636809,-0.12511205464099845,18.274935052160057,0.45,-0.6984125793746896,0.3265256447653996,0.7709728449940808,2.0050893099178726,0.2990733297734695,2.0272710714970312,0.39372308402387735,0.45267041491655885,0.5999403065589132,0.08355403631563368,0.431182267368226,0.43920317015868476,2.1565141327174935,0.7654165313852497,2.288321583853133,0.43192138009555736,-1.1057569839014998,1.1871202913060632,-0.693656141774923,-1.361089302624439,1.527652752670172,0.5872207402468529,-0.8252998342803455,1.0128909192204398,0.44443531078831927,-4.043278812600838,4.0676315346774405,1.94077683180475,-2.0472435015788086,2.8209609471998625,-0.6454079308940306,-0.4495616382357881,0.7865475598043384
