frame,ball_x,7_x,8_x,9_x,10_x,11_x,14_x,66_x,7540_x,8162_x,8163_x,ball_y,7_y,8_y,9_y,10_y,11_y,14_y,66_y,7540_y,8162_y,8163_y,10_vx,10_vy,11_vx,11_vy,14_vx,14_vy,66_vx,66_vy,7_vx,7_vy,7540_vx,7540_vy,8_vx,8_vy,8162_vx,8162_vy,8163_vx,8163_vy,9_vx,9_vy
0,-20.42397757921131,-30.911947237276465,-14.11323852875857,-20.42397757921131,-30.034615269281684,-27.20540804914796,-8.04831742739896,-25.066498652126718,-12.722385730479683,-0.6489795918367378,0.0721088435373835,-27.22276471986141,-30.177007792090848,-20.444637987617757,-27.22276471986141,5.74840456884431,14.883909109896244,9.70394547181975,28.54405385668853,-3.01464055645149,-9.428571428571386,5.285714285714288,,,,,,,,,,,,,,,,,,,,
1,-20.561497235385477,-30.901944808405727,-14.140760347047502,-20.561497235385477,-30.09215409892469,-27.29085859059766,-8.143284111160877,-25.09848111221722,-12.77681618927889,-0.6489795918367378,0.0721088435373835,-27.302545482215237,-30.192024930258338,-20.453021504692863,-27.302545482215237,5.69119087841937,14.823243013206614,9.69871376331202,28.54200014570644,-3.022318198465371,-9.428571428571386,5.285714285714288,,,,,,,,,,,,,,,,,,,,
2,-20.69629850418085,-30.89299170371434,-14.169270769475409,-20.69629850418085,-30.15150266089315,-27.378243346983766,-8.238372583884784,-25.130602912321446,-12.833029955947254,-0.6489795918367227,0.0721088435373835,-27.37656746785926,-30.20546666645224,-20.461624648779157,-27.37656746785926,5.632145255687926,14.760924417073563,9.693460079231942,28.539757242756988,-3.030223818618457,-9.428571428571386,5.285714285714288,,,,,,,,,,,,,,,,,,,,
3,-20.827781133717657,-30.88518947070349,-14.198753849742674,-20.827781133717657,-30.21261013992323,-27.46743563943804,-8.333304215866441,-25.162776900446165,-12.89098380984511,-0.6489795918367679,0.0721088435373835,-27.444198189668707,-30.217180542417083,-20.47043702135902,-27.444198189668707,5.571316024557884,14.69702427273335,9.68819873153762,28.537318491923923,-3.0383497186210624,-9.428571428571386,5.285714285714298,,,,,,,,,,,,,,,,,,,,
4,-20.955344872116175,-30.878639656874434,-14.229193641549749,-20.955344872116175,-30.275425720751134,-27.558308789092276,-8.427800377401507,-25.194915924598035,-12.950634530332707,-0.6489795918367679,0.07210884353735339,-27.504805160518675,-30.227014099897318,-20.479448223914854,-27.504805160518675,5.5087515089372365,14.631613531422262,9.682944032187104,28.53467723729101,-3.0466882001834894,-9.428571428571386,5.285714285714288,-1.2542790060056115,-1.2493573560956428,-1.8123958383558705,-1.3053767767698736,-1.8787780425302456,-0.10452150868631398,-0.6392944033056023,-0.05309132930901024,0.12693437653215003,-0.19057281938447293,-1.1912855841636472,-0.16646169966187377,-0.6081579841581076,-0.1798081104131605,5.048709793414476e-29,0.0,8.835242138475332e-29,-4.733165431326071e-29,-2.5272646927803164,-1.1868399320059906
5,-21.07838946749664,-30.873443809728386,-14.260574198597038,-21.07838946749664,-30.339898588113037,-27.65073611707825,-8.521582438785757,-25.226932832783785,-13.011938896770346,-0.6489795918367378,0.0721088435373835,-27.55775589328436,-30.234814880637458,-20.488647857929084,-27.55775589328436,5.444500032733869,14.564763144376627,9.677710293138533,28.531826822941944,-3.055231565016083,-9.428571428571386,5.285714285714288,-1.287424736685888,-1.283096567749524,-1.8434794049906393,-1.3341696914612502,-1.8644960395134493,-0.10410230264766997,-0.6368520839830031,-0.057274523631655985,0.09985504287188615,-0.14991728458240466,-1.224358503164668,-0.17055936506532046,-0.6269732889623113,-0.1835767395809792,5.048709793414476e-29,4.5677747298863585e-14,-8.604228440844956e-14,-4.733165431326071e-29,-2.4368818324193695,-1.0337151703199408
6,-21.196314667979305,-30.869703476766563,-14.29287957458493,-21.196314667979305,-30.40597792674514,-27.74459094452774,-8.614371770314854,-25.25874047301008,-13.074853688518335,-0.6489795918367378,0.07210884353735339,-27.60241790084092,-30.240430426382,-20.498025524884127,-27.60241790084092,5.378609919855763,14.49654406283269,9.672511826349984,28.528760592960502,-3.063972114829206,-9.428571428571386,5.285714285714298,-1.319554162089917,-1.315869301244708,-1.8720293942609951,-1.3615435814268446,-1.8446414424110558,-0.10339685744722056,-0.6326667247945343,-0.06159083627952303,0.07074475918725753,-0.10621258467030054,-1.25656700937154,-0.17450306467524432,-0.6454696677747812,-0.18713739839683846,-1.2910307743498244e-13,0.0,8.835242138475332e-29,-4.733165431326071e-29,-2.3344939344633424,-0.8679406661372316
7,-21.30852022168442,-30.867520205490212,-14.326093823213908,-21.30852022168442,-30.473612921383648,-27.839746592572514,-8.705889742284546,-25.29025169328368,-13.13933568493696,-0.6489795918367378,0.0721088435373835,-27.638158696063506,-30.243708278875413,-20.507570826262363,-27.638158696063506,5.311129494210835,14.427027238026788,9.66736294377954,28.525471891430378,-3.072902151333146,-9.428571428571386,5.285714285714288,-1.3506672822178192,-1.3476755565808902,-1.8980458061669276,-1.3874984466666211,-1.8192142512229026,-0.10240517308487947,-0.6267383257400739,-0.06604026725266213,0.039603525478010417,-0.05945871964793727,-1.2879111027842831,-0.17829279849165047,-0.6636471205956949,-0.19049008686081947,8.596298276383355e-14,0.0,-8.604228440844956e-14,-2.7914178904861115e-14,-2.220100998912317,-0.6895164194575085
8,-21.414405876732257,-30.866995543400567,-14.360200998184311,-21.414405876732257,-30.542752756764752,-27.936076382344385,-8.795857724990585,-25.32137934161127,-13.205341665386523,-0.6489795918367378,0.07210884353735339,-27.664345791827216,-30.24449597986218,-20.517273363546206,-27.664345791827216,5.242107079707036,14.356283621195177,9.662277957385335,28.52195406243536,-3.0820139762382333,-9.42857142857137,5.285714285714288,-1.3807640970695036,-1.37851533375842,-1.9215286407084768,-1.4120342871805642,-1.7882144659492076,-0.10112724956051974,-0.619066886819703,-0.07062281655116463,0.006431341744297065,-0.009655689515528011,-1.3183907834028978,-0.1819285665146873,-0.6815056474248542,-0.1936348049730237,8.596298276383355e-14,0.0,8.604228440844964e-14,-3.155443620884047e-29,-2.093703025766292,-0.4984424302810249
9,-21.51337138124302,-30.8682310379988,-14.395185153196582,-21.51337138124302,-30.61334661762462,-28.033453634975114,-8.883997088728654,-25.352036265999534,-13.272828409227293,-0.6489795918367679,0.0721088435373835,-27.68034670100729,-30.242641071086844,-20.52712273821805,-27.68034670100729,5.1715910002522785,14.284384163574167,9.657271179125415,28.518200450059155,-3.0912998912547924,-9.428571428571386,5.285714285714288,-1.4098446066450618,-1.4083886327770876,-1.9424778978855826,-1.4351511029687352,-1.7516420865899,-0.09956308687433434,-0.609652408033493,-0.07533848417478693,-0.02877179201395358,0.04319650572710994,-1.3480060512274046,-0.1854103687442863,-0.6990452482623254,-0.19657155273328888,0.0,0.0,-8.604228440844956e-14,-3.155443620884047e-29,-1.9553000150252884,-0.294718698607649
