frame,ball_x,1450_x,1451_x,1452_x,1453_x,1454_x,2916_x,4168_x,4169_x,4170_x,4270_x,6328_x,8161_x,ball_y,1450_y,1451_y,1452_y,1453_y,1454_y,2916_y,4168_y,4169_y,4170_y,4270_y,6328_y,8161_y,1450_vx,1450_vy,1451_vx,1451_vy,1452_vx,1452_vy,1453_vx,1453_vy,1454_vx,1454_vy,2916_vx,2916_vy,4168_vx,4168_vy,4169_vx,4169_vy,4170_vx,4170_vy,4270_vx,4270_vy,6328_vx,6328_vy,8161_vx,8161_vy
0,-20.42397757921131,-30.898918836461437,-30.821233823210246,-30.324198652086498,-30.357955716897365,-26.79117919590997,-31.53008783774298,-21.51426142218702,-21.77144872045346,-23.522637510935176,-4.398639455782321,-48.36906995324927,51.70204081632656,-27.22276471986141,10.014063342821913,0.025269524452180007,-6.451747036206455,-15.560653921320453,16.670863292755204,-26.730338569862905,1.5283793994080208,-11.897106597619096,-20.997630477439216,0.4285714285714295,-1.7419806502423691,-34.14285714285716,,,,,,,,,,,,,,,,,,,,,,,,
1,-20.561497235385477,-30.955477969533394,-30.91154109670979,-30.45406719540467,-30.50266832666139,-26.886406758467245,-31.521569572627346,-21.635222445765617,-21.876441460468293,-23.564588104508406,-4.398639455782321,-48.36095556797895,51.702040816326495,-27.302545482215237,9.946784526240267,-0.03526347513329711,-6.536892646599655,-15.698102361762121,16.572919562581994,-26.742573081305466,1.3584369501541858,-12.132924133084728,-21.349336412418566,0.4285714285714295,-1.7560577318478747,-34.142857142857174,,,,,,,,,,,,,,,,,,,,,,,,
2,-20.69629850418085,-31.013500440080676,-31.00351543012737,-30.58516618678653,-30.647054138939772,-26.983939374327747,-31.51394493261691,-21.75556314817222,-21.980632243134377,-23.605120445577814,-4.398639455782321,-48.35278009574297,51.70204081632656,-27.37656746785926,9.877690966027304,-0.09680335404895062,-6.623222056799974,-15.834926277757447,16.471887860491094,-26.753524107622045,1.1851706613668158,-12.368833360002844,-21.696367093527982,0.4285714285714295,-1.7702407889736447,-34.142857142857174,,,,,,,,,,,,,,,,,,,,,,,,
3,-20.827781133717657,-31.072914846170118,-31.0969973116039,-30.717186914866847,-30.79065374118511,-27.08364603484123,-31.50730039756057,-21.874875921400974,-22.08364935612434,-23.644011388297773,-4.398639455782321,-48.34456389886323,51.70204081632645,-27.444198189668707,9.806862562741605,-0.15923567660102778,-6.710558499089161,-15.970667964652417,16.367854181533954,-26.76306744057469,1.008868013588949,-12.60412807149192,-22.037342160806592,0.4285714285714295,-1.7844944964462415,-34.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,
4,-20.955344872116175,-31.13364978586856,-31.191827229280374,-30.8498206682804,-30.93300772085003,-27.18539573135742,-31.501722447307184,-21.992753157445946,-22.185121087110783,-23.6810377868226,-4.398639455782321,-48.33632733966162,51.70204081632645,-27.504805160518675,9.734379216941667,-0.2224460070956647,-6.798725205748979,-16.10486971779302,16.260904520761983,-26.771078871925393,0.8298164873636179,-12.83810206067045,-22.370881254293504,0.4285714285714295,-1.7987835290922418,-34.14285714285714,-1.2118427166424792,-1.446470893656923,-1.8902178791674777,-1.2596291821398402,-2.6403266136628334,-1.7562634244676163,-2.828703091401964,-2.6657268766507864,-2.0297535843135956,-2.1355534133817398,0.10809981111202253,-0.15526029749428819,-2.3412404006641903,-3.5695313027844757,-2.0145661266340755,-4.651231508309534,-0.7316021366709738,-6.61556747130297,4.060244204343426e-14,-1.3957089452430512e-14,0.16391669115713672,-0.2843676459835009,-1.827109891954542e-13,-4.060244204343434e-14
5,-21.07838946749664,-31.195633857242857,-31.287845671297713,-30.98275873566201,-31.07365666538709,-27.28905745522606,-31.49729756170566,-22.108787248301283,-22.284675723766373,-23.715976495306712,-4.398639455782321,-48.32809078045998,51.702040816326495,-27.55775589328436,9.660320829186064,-0.28631990983903616,-6.887545409061231,-16.23707383252521,16.151124873226642,-26.777434193436154,0.6483035632339038,-13.070049120656893,-22.695604014027836,0.4285714285714295,-1.8130725617382473,-34.14285714285716,-1.236825350159277,-1.477971732770398,-1.9139883659850603,-1.2729006271146974,-2.6464128930235877,-1.769333357516048,-2.7946023888450355,-2.625774108482466,-2.0679941313627888,-2.1921531486492487,0.08503851807476386,-0.12213810069539476,-2.3043774968713895,-3.6187592608724106,-1.9762242400165366,-4.610692924467798,-0.689848335855905,-6.439240796251348,-4.417621069237666e-29,2.997671439839845e-29,0.1639166911571164,-0.28436764598357006,1.262177448353619e-28,-5.048709793414476e-29
6,-21.196314667979305,-31.258795658359812,-31.3848931257969,-31.11569240564644,-31.212141162248894,-27.394500197796926,-31.49411222060489,-22.222570585961094,-22.381941553763696,-23.74860436790438,-4.398639455782307,-48.31987458358025,51.702040816326495,-27.60241790084092,9.584767300033313,-0.3507429491373702,-6.976842341307695,-16.366822604194965,16.038601233979364,-26.782009196868998,0.464616721742835,-13.299263044569729,-23.010130080048732,0.4285714285714198,-1.827326269210844,-34.14285714285716,-1.2603799450127946,-1.507874560713078,-1.934568615621655,-1.283883358213216,-2.646324945080077,-1.7788679361998607,-2.751313435340045,-2.5766672472337047,-2.103614505406871,-2.247032982888096,0.06024762805975366,-0.08653173913674751,-2.2593624329607866,-3.662237608099424,-1.9304481068514634,-4.556030202995694,-0.6436316181278453,-6.235306921982097,-4.417621069237666e-29,2.997671439839845e-29,0.16350944471946197,-0.28366114251526064,-3.045183153257571e-13,-5.048709793414476e-29
7,-21.30852022168442,-31.323063787286305,-31.482810080918863,-31.24831296686849,-31.348001798888053,-27.501592950419727,-31.49225290385377,-22.333695562419486,-22.476546864775386,-23.778698258770017,-4.398639455782307,-48.311699111344275,51.702040816326495,-27.638158696063506,9.50779853004199,-0.4156006892967642,-7.066439234770121,-16.49365832814823,15.923419598071595,-26.784679673985906,0.279043443433454,-13.525037625527434,-23.313079092395256,0.4285714285714246,-1.8415093263365945,-34.142857142857174,-1.2825065012030934,-1.5361793774849224,-1.9519586280774046,-1.2925773754351744,-2.640062769832322,-1.7848671605192503,-2.698836230886964,-2.5184062929042534,-2.136614706445822,-2.300192916098161,0.033727141066941205,-0.04844121281817389,-2.2061952089324723,-3.699966344465503,-1.8772377271388863,-4.487243343893057,-0.5929519834869065,-6.003765848495105,-4.417621069237666e-29,2.997671439839845e-29,0.16269495184413277,-0.28224813557866846,3.0451831532575725e-13,-1.0150610510858576e-13
8,-21.414405876732257,-31.38836684208914,-31.58143702480456,-31.380311707962925,-31.480779162757152,-27.61020470444422,-31.49180609130118,-22.441754569670604,-22.56811994447408,-23.806035022057973,-4.398639455782321,-48.30358472607396,51.702040816326495,-27.664345791827216,9.429494419770627,-0.48077869462344125,-7.1561593217302715,-16.617123299730984,15.805665960554757,-26.785321416548854,0.09187120884884195,-13.746666656648458,-23.603070691106538,0.4285714285714295,-1.8555864079421243,-34.142857142857174,-1.3032050187301127,-1.5628861830859566,-1.9661584033522161,-1.298982678780684,-2.6276263672803015,-1.7873310304740966,-2.6371707754857705,-2.450991245494143,-2.1669947344796725,-2.351632948279477,0.005477057096346782,-0.007866521739734782,-2.1448758247864976,-3.731945469970523,-1.8165931008787943,-4.4043323471598725,-0.5378094319330374,-5.744617575790533,4.0602442043434215e-14,2.997671439839845e-29,0.16147321253118968,-0.2801286251738645,1.218073261303031e-13,-1.0150610510858576e-13
9,-21.51337138124302,-31.454633420835155,-31.680614445594948,-31.511379917564557,-31.61001384130879,-27.72020445122015,-31.492858262795995,-22.546339999708497,-22.65628908053239,-23.83039151192256,-4.398639455782321,-48.29555179009116,51.70204081632645,-27.68034670100729,9.349934869777726,-0.5461625294235762,-7.245825834469925,-16.736759814289243,15.68542631648026,-26.783810216319907,-0.09661250146798267,-13.963443931051337,-23.878724516221716,0.4285714285714295,-1.869522188853986,-34.142857142857174,-1.3224754975938522,-1.587994977516084,-1.9771679414461214,-1.3030992682497724,-2.6090157374240563,-1.7862595460643371,-2.5663170691364954,-2.3744221050035255,-2.1947545895084115,-2.40135307943204,-0.024502623852060045,0.03519233409867132,-2.07540428052274,-3.758174984614608,-1.748514228071107,-4.307297212796311,-0.4782039634660963,-5.457862103868202,4.0602442043434215e-14,-2.7755575615628857e-14,0.1598442267805109,-0.2773026113007365,2.0194839173657902e-28,-4.0602442043434304e-14
