frame,ball_x,9_x,10_x,11_x,14_x,26_x,66_x,5844_x,5846_x,6366_x,6367_x,ball_y,9_y,10_y,11_y,14_y,26_y,66_y,5844_y,5846_y,6366_y,6367_y,10_vx,10_vy,11_vx,11_vy,14_vx,14_vy,26_vx,26_vy,5844_vx,5844_vy,5846_vx,5846_vy,6366_vx,6366_vy,6367_vx,6367_vy,66_vx,66_vy,9_vx,9_vy
0,-1.6201924212233858,-13.689894686919377,-9.172270744307152,-15.698833828971438,-9.107587262958933,-1.6201924212233858,-11.640298746033096,-0.9997095411092611,13.62291364415104,5.24334305150631,15.53430515063168,-19.49194391481645,-8.105167026296865,-14.955402588317659,7.307984105127932,3.1121282784847275,-19.49194391481645,30.61281864858963,-27.951761828761217,11.630933951258479,-6.663265306122451,-20.918367346938783,,,,,,,,,,,,,,,,,,,,
1,-2.09101905269081,-14.091510421738759,-9.084362308343412,-15.88467103206102,-9.202852632379882,-2.09101905269081,-11.814127834580429,-1.0175655275624835,13.549834966717459,5.202137998056379,15.469922254616108,-19.320269595284106,-8.185633173432022,-14.875089026611587,7.238757577709469,2.953821999988413,-19.320269595284106,30.62184094870655,-27.870754734537847,11.542410989983162,-6.650510204081628,-20.897959183673446,,,,,,,,,,,,,,,,,,,,
2,-2.5458094675842915,-14.491740599561805,-9.00280836739481,-16.070072977006735,-9.290634931248855,-2.5458094675842915,-11.981005968702338,-1.0363197199271768,13.476931264461463,5.160932944606404,15.405539358600583,-19.149676133845894,-8.273852410014038,-14.795643123512516,7.166984395530504,2.806321720676114,-19.149676133845894,30.63010956885805,-27.79072403481949,11.45536128668877,-6.637755102040824,-20.87755102040815,,,,,,,,,,,,,,,,,,,,
3,-2.98515864436256,-14.890419621943884,-8.927457583853197,-16.254933824515717,-9.371328470069667,-2.98515864436256,-12.141177475133944,-1.055964752624651,13.404201102530019,5.119727891156451,15.341156462585026,-18.980183188040414,-8.369539970048514,-14.717045835795373,7.092822643984957,2.669170849033069,-18.980183188040414,30.637629143655033,-27.711661722855656,11.369772760183729,-6.624999999999985,-20.857142857142854,,,,,,,,,,,,,,,,,,,,
4,-3.4096615614844814,-15.287381890440358,-8.85815862011043,-16.43914773529515,-9.445327559346211,-3.4096615614844814,-12.294886680610315,-1.0764932600761186,13.331643046070127,5.078522837706521,15.276773566569469,-18.811810415406217,-8.472411087541005,-14.639278120235016,7.0164304084667855,2.5419127935444563,-18.811810415406217,30.64440430770855,-27.63355979189585,11.285633329276509,-6.612244897959176,-20.836734693877542,1.3920327791808513,1.556116040210875,-3.680044643875309,-1.5215212946065113,-1.4957542056847826,-2.56342477036542,-8.513857480789992,3.366669151140858,-0.4102755258797507,1.5623588892152895,-1.4512185233178747,-1.6832718658066574,-0.8241010689990574,0.2551020408163624,-1.2876579203109475,0.4081632653062428,-3.083957178931616,0.1356886655075381,-7.932621432143013,-2.0460317100737866
5,-3.8199131974088303,-15.682461806606542,-8.794760138558377,-16.622608870052193,-9.513026509582282,-3.8199131974088303,-12.442377911866581,-1.0978978767028815,13.259255660228765,5.037317784256523,15.212390670553914,-18.644577473481903,-8.582180996497168,-14.562320933606376,6.937965774369885,2.4240909626953986,-18.644577473481903,30.650439695629412,-27.556410235189595,11.202930912775555,-6.599489795918357,-20.816326530612237,1.2740231353665519,1.5399054615766972,-3.664989123427636,-1.562969266180895,-1.3697514248762586,-2.3747002775736075,-8.228831856838337,3.343872536943592,-0.42779770938497697,1.5433114041441442,-1.4478051109466805,-1.6545315776815173,-0.8241010689991006,0.2551020408163497,-1.2876579203109524,0.4081632653061007,-2.9595976945292786,0.12089314285592169,-7.894974385537354,-2.184007539346397
6,-4.216508530594353,-16.075493771997802,-8.73711080158892,-16.80521138949402,-9.57481963128178,-4.216508530594353,-12.583895495637812,-1.1201712369261152,13.187037510153024,4.996112730806622,15.148007774538373,-18.478504019806024,-8.698564930922533,-14.486155232684364,6.857586827088199,2.315248764971131,-18.478504019806024,30.6557399420287,-27.480205045986438,11.12165342948928,-6.586734693877548,-20.795918367346932,1.1590402437151375,1.5240757474445334,-3.6478168171232284,-1.6012555298767897,-1.2516348541448756,-2.195107615078054,-7.955705802062424,3.320682771974767,-0.44517258131545895,1.524424054082658,-1.4444203956356914,-1.6260329133874967,-0.8241010689990348,0.2551020408163903,-1.2876579203110845,0.4081632653061311,-2.8401247448289975,0.1061903124232393,-7.854015370038588,-2.3162880487307542
7,-4.600042539499883,-16.466312188169432,-8.685059271593854,-16.986849454327796,-9.631101234948607,-4.600042539499883,-12.719683758659162,-1.143305975167174,13.114987160989784,4.95490767735664,15.083624878522848,-18.31360971191715,-8.82127812482269,-14.410761974243853,6.775451652015653,2.2149296088568304,-18.31360971191715,30.66030968151727,-27.404936217535866,11.041788798226149,-6.573979591836724,-20.7755102040816,1.047084104226467,1.5086268978144952,-3.6285277249621832,-1.636380085694117,-1.1414044934907965,-2.0246467828789734,-7.694479316462559,3.2970998562345653,-0.46240014167087246,1.5056968390308103,-1.4410643773846028,-1.5977758729245295,-0.8241010689990551,0.25510204081631926,-1.2876579203110339,0.40816326530619207,-2.7255383298307128,0.0915801742096229,-7.809744385646594,-2.4428732382268183
8,-4.971110202584228,-16.854751456676833,-8.638454210965119,-17.167417225260692,-9.682265631086572,-4.971110202584228,-12.849987027665676,-1.1672947258472255,13.04310317788612,4.913702623906694,15.019241982507275,-18.14991420735385,-8.95003581220326,-14.336122115059743,6.691718334546156,2.12267690283765,-18.14991420735385,30.66415354870612,-27.330595743087397,10.963324937794631,-6.561224489795905,-20.75510204081631,0.9381547169005394,1.4935589126863897,-3.6071218469445654,-1.6683429336329831,-1.0390603429139438,-1.8633177809762875,-7.4451524000383635,3.273123789722843,-0.47948039045136903,1.4871297589884789,-1.4377370561935567,-1.5697604562927172,-0.824101068999055,0.2551020408163497,-1.2876579203109675,0.40816326530611075,-2.6158384495345435,0.07706272821475782,-7.762161432361438,-2.563763107834741
9,-5.33030649830614,-17.24064597907531,-8.597144282094511,-17.346808862999865,-9.728707130199561,-5.33030649830614,-12.975049629392487,-1.1921301233875874,12.97138412598897,4.8724975704567415,14.954859086491703,-17.987437163654725,-9.084553227069803,-14.26221661190693,6.606544960073627,2.038034055398795,-17.987437163654725,30.667276178206183,-27.25717561589056,10.886249767003147,-6.5484693877550875,-20.734693877551003,0.832252081737396,1.4788717920603385,-3.583599183070213,-1.6971440736933068,-0.9446024024145009,-1.71112060936987,-7.20772505279013,3.2487545724397435,-0.4964133276569056,1.4687228139558168,-1.4344384320625683,-1.5419866634920045,-0.8241010689989684,0.25510204081630655,-1.287657920311013,0.4081632653061208,-2.511025103940294,0.06263797443913127,-7.71126651018313,-2.678957657554334
10,-5.678226405124455,-17.623830156920192,-8.560978147373934,-17.52491852825248,-9.770820042791446,-5.678226405124455,-13.095115890574693,-1.2178048022094563,12.899828570445408,4.831292517006782,14.890476190476164,-17.826198238358316,-9.2245456034279,-14.1890264215603,6.520089613992016,1.9605444750254284,-17.826198238358316,30.6696822046284,-27.184667829194872,10.810551204660143,-6.535714285714273,-20.714285714285687,0.7293761987371893,1.4645655359364491,-3.5579597333392297,-1.7227835058751826,-0.8580306719923365,-1.5680552680598592,-6.982197274717835,3.2239922043852483,-0.5131989532876107,1.4504760039328244,-1.431168504991714,-1.5144544945223464,-0.8241010689991413,0.2551020408163218,-1.2876579203110086,0.4081632653060804,-2.4110982930481737,0.04830591288225606,-7.65705961911153,-2.78845688738563
11,-6.015464901497909,-18.004138391766862,-8.529804469195241,-17.70164038172575,-9.808998679366091,-6.015464901497909,-13.210430137947405,-1.2443113967340977,12.828435076402382,4.790087463556851,14.82609329446063,-17.666217089003222,-9.369728175283164,-14.11653250079478,6.432510381695241,1.8897515702027556,-17.666217089003222,30.671376262583717,-27.11306437624988,10.736217169574058,-6.5229591836734535,-20.693877551020403,0.6295270678995228,1.450640144314649,-3.530203497751612,-1.7452612301785613,-0.7793451516473024,-1.4341217570462839,-6.768569065821409,3.1988366855592023,-0.5298372673433362,1.4323893289194696,-1.4279272749809124,-1.487163949383756,-0.8241010689990778,0.25510204081639026,-1.28765792031112,0.40816326530607017,-2.316058016858063,0.03406654354455847,-7.599540759146948,-2.8922607973287633
12,-6.342616965885377,-18.381405085170638,-8.503471909950289,-17.87686858412677,-9.843637350427358,-6.342616965885377,-13.321236698245684,-1.2716425413827985,12.757202209006866,4.748882410106884,14.761710398445059,-17.507513373127992,-9.519816176641186,-14.044715806385257,6.343965348577227,1.8251987494159438,-17.507513373127992,30.67236298668311,-27.04235725030506,10.663235580553353,-6.51020408163265,-20.673469387755095,0.5327046892248635,1.4370956171947569,-3.50033047630721,-1.7645772466034466,-0.7085458413796224,-1.3093200763290749,-6.566840426100666,3.1732880159616887,-0.5463282698240134,1.4144627889156223,-1.4247147420301127,-1.460115028076291,-0.8241010689990549,0.2551020408163345,-1.2876579203110339,0.4081632653061312,-2.225904275369892,0.0199198664257137,-7.538709930289024,-2.990369387383614
13,-6.660277576745595,-18.75546463868684,-8.481829132030903,-18.05049729616275,-9.875130366479098,-6.660277576745595,-13.427779898204673,-1.299790870576779,12.686128533405924,4.707677356656923,14.69732750242952,-17.350106748271187,-9.674524841507504,-13.973557295106607,6.254612600031885,1.76642942115018,-17.350106748271187,30.67264701153749,-26.97253844460995,10.591594356406459,-6.4974489795918355,-20.653061224489804,0.43890906271282604,1.4239319545770153,-3.468340669006358,-1.7807315551498066,-0.6456327411892713,-1.1936502259082162,-6.377011355556003,3.147346195592868,-0.5626719607298388,1.3966963839214024,-1.4215309061392134,-1.4333077305999704,-0.8241010689989914,0.25510204081633703,-1.2876579203108154,0.4081632653061209,-2.140637068583853,0.005865881525904469,-7.47456713253799,-3.08278265755016
14,-6.9690417125373765,-19.126151453870865,-8.464724797829021,-18.22242067854086,-9.903872038025163,-6.9690417125373765,-13.530304064559484,-1.3287490187373416,12.615212614746465,4.666472303206962,14.632944606413956,-17.194016871971428,-9.833569403887758,-13.903037923733725,6.164610221453157,1.712986993890631,-17.194016871971428,30.672232971757865,-26.90359995241405,10.521281415941834,-6.4846938775509875,-20.632653061224474,0.3481401883636741,1.4111491564613279,-3.434234075848781,-1.7937241558175792,-0.5906058510761165,-1.0871122057837381,-6.199081854187104,3.121011224452456,-0.5788683400607905,1.379090113936872,-1.4183757673086153,-1.4067420569546887,-0.8241010689990141,0.2551020408163065,-1.2876579203109675,0.4081632653061208,-2.0602563964998355,-0.00809541115497073,-7.407112365893754,-3.1695006078285344
15,-7.269504351719461,-19.493299932277992,-8.452007569736416,-18.392532891968216,-9.93025667556944,-7.269504351719461,-13.629053524045139,-1.3585096202856302,12.544453018175581,4.625267249757025,14.568561710398413,-17.039263401767258,-9.996665097787526,-13.833138649041578,6.07411629823495,1.664414876122474,-17.039263401767258,30.67112550195512,-26.83553376696693,10.45228467796793,-6.471938775510188,-20.612244897959165,0.2603980661773215,1.3987472228476554,-3.3980106968344717,-1.8035550486070053,-0.5434651710403213,-0.9897060159556677,-6.033051921994261,3.094283102540751,-0.5949174078168465,1.3616439789619403,-1.4152493255379486,-1.3804180071404812,-0.8241010689990804,0.2551020408163319,-1.2876579203109935,0.40816326530616154,-1.984762259117743,-0.021964011616739353,-7.336345630356353,-3.250523238218653
16,-7.562260472750741,-19.856744475463607,-8.443526110145022,-18.56072809715209,-9.954678589615806,-7.562260472750741,-13.724272603396836,-1.389065309643031,12.473848308840246,4.584062196307094,14.504178814382918,-16.88586599519722,-10.163527157212359,-13.763840427804974,5.983288915771195,1.6202564763309193,-16.88586599519722,30.66932923674025,-26.76833188151807,10.384592061293157,-6.4591836734693695,-20.59183673469386,0.1756826961537631,1.3867261537361333,-3.3596705319635793,-1.8102242335178305,-0.5042107010816872,-0.9014316564240031,-5.878921558977039,3.0671618298575254,-0.6108191639979006,1.344357978996677,-1.41215158082737,-1.3543355811573778,-0.8241010689989713,0.25510204081634974,-1.287657920310993,0.408163265306121,-1.914154656437803,-0.03573991985962468,-7.262266925925768,-3.3258505487204104
17,-7.847905054089942,-20.216319484983007,-8.439129081446648,-18.726900454799555,-9.977532090668086,-7.847905054089942,-13.816205629349636,-1.420408721230733,12.403397051887392,4.542857142857127,14.439795918367325,-16.733844309799956,-10.333870816167888,-13.695124216798835,5.892286159455863,1.58005520300112,-16.733844309799956,30.66684881072416,-26.701986289316967,10.318191484726002,-6.446428571428566,-20.571428571428545,0.09399407829290236,1.375085949126544,-3.3192135812360237,-1.8137317105501718,-0.4728424412003105,-0.822289127188775,-5.736690765135822,3.0396474064028314,-0.6265736086040581,1.3272321140410321,-1.4090825331767576,-1.328494779005318,-0.8241010689989687,0.2551020408162939,-1.2876579203110339,0.4081632653061413,-1.8484335884598988,-0.04942313588342376,-7.184876252602004,-3.3954825393340315
18,-8.1270330741959,-20.571859362391585,-8.438665146033179,-18.890944125617814,-9.999211489230204,-8.1270330741959,-13.905096928638615,-1.452532489469994,12.3330978124641,4.501652089407173,14.375413022351783,-16.58321800311396,-10.507411308659693,-13.6269709727981,5.8012661146827895,1.543354464618272,-16.58321800311396,30.663688858517858,-26.6364889836132,10.25307086707489,-6.433673469387737,-20.551020408163247,0.015332212594937503,1.3638266090190243,-3.276639844651805,-1.8140774797040191,-0.44936039139637424,-0.7522784282498003,-5.606359540470463,3.01173983217675,-0.6421807416351908,1.3102663840949853,-1.4060421825862537,-1.302895600684393,-0.8241010689989484,0.2551020408162533,-1.2876579203108665,0.40816326530615143,-1.7875990551839496,-0.06301365968831922,-7.104173610384988,-3.4594192100593344
19,-8.40023951152734,-20.923198509244656,-8.441982966296472,-19.05275327031402,-10.020111095805948,-8.40023951152734,-13.991190827998915,-1.4854292487820637,12.262949155717287,4.460447035957244,14.311030126336211,-16.434006732677858,-10.68386386869333,-13.55936165257761,5.710386866845987,1.5096976696675428,-16.434006732677858,30.65985401473224,-26.571831957656222,10.189218127148271,-6.4209183673469274,-20.530612244897952,-0.06030290094032457,1.3529481334136553,-3.231949322211044,-1.811261540979344,-0.43376455166959904,-0.6913995596072754,-5.487927884981088,2.9834391071792092,-0.6576405630916439,1.2934607891586474,-1.403030529055787,-1.2775380461945975,-0.8241010689989684,0.255102040816337,-1.2876579203109877,0.4081632653061107,-1.7316510566100713,-0.07651149127424005,-7.020158999274872,-3.5176605608964184
20,-8.668119344543133,-21.27017132709754,-8.448931204628387,-19.212222049595358,-10.040625220899207,-8.668119344543133,-14.074731654165637,-1.5190916335881992,12.192949646794059,4.419241982507284,14.246647230320658,-16.286230156030197,-10.862943730274415,-13.492277212912317,5.619806501339325,1.4786282266341089,-16.286230156030197,30.65534891397829,-26.508007204695588,10.126621183754597,-6.408163265306133,-20.510204081632654,-0.13291126231273145,1.342450522310362,-3.185142013913428,-1.8052838943761347,-0.4260549220201323,-0.639652521261088,-5.381395798667498,2.954745231410156,-0.6729530729729855,1.2768153292318674,-1.4000475725855204,-1.252422115535785,-0.8241010689990343,0.2551020408162659,-1.2876579203110081,0.40816326530614117,-1.68058959273822,-0.08991663064118627,-6.9328324192715165,-3.570206591845256
21,-8.931267551702039,-21.61261221750561,-8.459358523420793,-19.369244624168992,-10.061148175013894,-8.931267551702039,-14.155963733873866,-1.5535122783096584,12.123097850841276,4.37803692905733,14.182264334305152,-16.139907930709565,-11.044366127408525,-13.425698610577067,5.52968310355675,1.449689544003201,-16.139907930709565,30.650178190866953,-26.445006717980807,10.065267955702296,-6.395408163265299,-20.48979591836732,-0.20249287152236445,1.3323337757089548,-3.1362179197592606,-1.7961445398945683,-0.426231502447908,-0.5970373132113491,-5.286763281529767,2.9256582048697757,-0.6881182712793252,1.2603300043146448,-1.397093313175058,-1.227547808708138,-0.8241010689989913,0.25510204081630905,-1.287657920311013,0.40816326530602953,-1.6344146635683536,-0.10322907778910709,-6.842193870375072,-3.617057302905866
