frame,ball_x,276_x,277_x,278_x,1793_x,3570_x,5841_x,5842_x,5843_x,5845_x,6325_x,9475_x,ball_y,276_y,277_y,278_y,1793_y,3570_y,5841_y,5842_y,5843_y,5845_y,6325_y,9475_y,1793_vx,1793_vy,276_vx,276_vy,277_vx,277_vy,278_vx,278_vy,3570_vx,3570_vy,5841_vx,5841_vy,5842_vx,5842_vy,5843_vx,5843_vy,5845_vx,5845_vy,6325_vx,6325_vy,9475_vx,9475_vy
0,-1.6201924212233858,-17.1318240163709,-17.27704931293125,-15.706001429715206,-9.51507874877261,-13.329414898110965,-3.6549770615647255,3.306705539358588,8.920894071914464,0.01207603580674231,-10.243578207603317,-44.05850340136055,-19.49194391481645,9.564532124850176,0.33458176812718504,-14.108111812313032,-24.830778259583575,-9.499097851624315,11.84956563601075,-3.5204081632652957,-14.132653061224476,-21.47585472121263,-4.297454055640094,-1.4285714285714333,,,,,,,,,,,,,,,,,,,,,,
1,-2.09101905269081,-17.355807561701887,-17.426788263574057,-16.096154802130634,-9.79807933250714,-13.770252978436039,-3.6131002431752073,3.2139941690961904,8.86166180758017,-0.2838854758115579,-10.397609316006974,-44.05850340136055,-19.320269595284106,9.400382356554948,0.1732869305644735,-14.083987756262154,-24.736286285723,-9.665223580305831,12.155993800250796,-3.507653061224472,-14.130102040816313,-21.31782837185329,-4.600409521156205,-1.4285714285714333,,,,,,,,,,,,,,,,,,,,,,
2,-2.5458094675842915,-17.574313855684697,-17.5757068970218,-16.475085304443613,-10.077327823141403,-14.182768341694148,-3.5849480255028747,3.121282798833823,8.80242954324586,-0.5768819820967265,-10.548093360768107,-44.05850340136055,-19.149676133845894,9.244094963294252,0.02102927228550044,-14.057433801102336,-24.63941323761793,-9.825820913627645,12.430170722407212,-3.494897959183677,-14.127551020408148,-21.16313934692789,-4.894907107538238,-1.4285714285714333,,,,,,,,,,,,,,,,,,,,,,
3,-2.98515864436256,-17.78746544601549,-17.723835950054156,-16.843072332849253,-10.35291245321763,-14.56784259537892,-3.570207605934641,3.028571428571433,8.743197278911566,-0.8669273932750277,-10.695105689241105,-44.05850340136055,-18.980183188040414,9.095459565895316,-0.12241972163098865,-14.028515861029225,-24.54021300435176,-9.980844991263382,12.672877716104928,-3.4821428571428537,-14.124999999999986,-21.011711457443052,-5.180999484897933,-1.4285714285714333,,,,,,,,,,,,,,,,,,,,,,
4,-3.4096615614844814,-17.995384880390564,-17.871206159450946,-17.20039528354262,-10.624921455277953,-14.92635734698398,-3.5685661818573973,2.93586005830902,8.683965014577254,-1.154035619572718,-10.838721648780371,-44.05850340136055,-18.811810415406217,8.954265785185449,-0.25728856610622414,-13.99729985023849,-24.43873947500794,-10.130250952886632,12.884896094968962,-3.4693877551020202,-14.122448979591807,-20.863468514405383,-5.458739323346957,-1.4285714285714333,-5.443709342892932,2.027315023539842,-4.163290595349247,-2.8322907811071216,-2.9486336591252327,-2.7065174863549464,-7.1576348616709575,0.6216836479881899,-7.205559331846532,-2.9863248194102656,0.04534058607058615,4.271620122280117,-1.8542274052477785,0.2551020408163484,-1.1846452866861157,0.05102040816326893,-5.742720935003063,2.9679064204892462,-2.8753330849603937,-5.5569035734502865,0.0,0.0
5,-3.8199131974088303,-18.198194706506033,-18.01784826199185,-17.54733355271882,-10.893443061864517,-15.25919420400297,-3.5797109506579594,2.8431486880466306,8.624732750242924,-1.4382205712160092,-10.979016586740263,-44.05850340136055,-18.644577473481903,8.82030324199188,-0.38380577606148963,-13.963851682925794,-24.33504653866985,-10.273993938171039,13.067007172624312,-3.4566326530612157,-14.11989795918365,-20.71833432882147,-5.728179292997097,-1.4285714285714333,-5.373961433418149,2.071703163424853,-4.061098430157912,-2.6876660307810796,-2.9340715220081792,-2.539484795955159,-6.949941231327411,0.6663267784274445,-6.69200144012491,-2.8730652926336826,-0.2103832714860041,3.673474098106085,-1.8542274052477568,0.2551020408162799,-1.1846452866861157,0.05102040816332983,-5.684255441915293,2.905731271413917,-2.808912653372997,-5.390906197472499,0.0,0.0
6,-4.216508530594353,-18.396017472058166,-18.16379299445664,-17.88416653657293,-11.158565505519526,-15.567234773929515,-3.6033291097232105,2.7504373177842627,8.565500485908665,-1.71949615843109,-11.116065850475161,-44.05850340136055,-18.478504019806024,8.693361557141884,-0.5021998664180203,-13.928237273286811,-24.229188084420976,-10.412029086790264,13.219992262695909,-3.4438775510204116,-14.117346938775498,-20.57623271169795,-5.989372063960115,-1.4285714285714333,-5.3059781747867865,2.1150135216415675,-3.9613572188907598,-2.54724886390985,-2.920124120485993,-2.3770224039803525,-6.74783552488567,0.7096516249535866,-6.196075698275907,-2.7589085593296296,-0.45985107677994463,3.0909543464316407,-1.8542274052478875,0.2551020408163751,-1.1846452866861157,0.05102040816331968,-5.6260681533523345,2.8450799022062814,-2.743999168873238,-5.225962223729353,0.0,0.0
7,-4.600042539499883,-18.588975724743136,-18.309071093625082,-18.211173631300042,-11.420377018785135,-15.851360664257252,-3.6391078564400203,2.6577259475218655,8.506268221574324,-1.99787629144433,-11.249944787339455,-44.05850340136055,-18.31360971191715,8.573230351462684,-0.6126993520970464,-13.890522535517166,-24.12121800134463,-10.544311538417908,13.344632678808791,-3.4311224489795737,-14.114795918367331,-20.437087474041395,-6.242370306347695,-1.4285714285714333,-5.239759566998612,2.1572460981899053,-3.864066961547863,-2.4110392804933816,-2.9067914545588684,-2.2191303104304705,-6.551317742345597,0.7516581875665348,-5.7177821062995795,-2.643854619498041,-0.7030628298112366,2.524060867256936,-1.8542274052478014,0.25510204081634974,-1.1846452866861565,0.05102040816329938,-5.568159069314187,2.785952312866553,-2.6805926314610415,-5.062071652220867,0.0,0.0
8,-4.971110202584228,-18.777192012257157,-18.45371329627692,-18.52863423309523,-11.678965834203492,-16.112453482479758,-3.6867343881953087,2.5650145772594755,8.447035957240029,-2.273374880481911,-11.380728744687524,-44.05850340136055,-18.14991420735385,8.45969924578157,-0.7155327480198324,-13.850773383812548,-24.011190178524302,-10.67079643272762,13.441709734587926,-3.418367346938774,-14.112244897959147,-20.30082242685842,-6.48722669027158,-1.4285714285714333,-5.175305610053868,2.1984008930700174,-3.769227658128997,-2.279037280531802,-2.8940735242266307,-2.065808515305624,-6.360387883707463,0.7923464662662127,-5.257120664195855,-2.5279034731390837,-0.940018530579811,1.9727936605818992,-1.8542274052477568,0.25510204081630655,-1.1846452866860853,0.05102040816326892,-5.510528189800936,2.7283485033946415,-2.6186930411363307,-4.899234482947204,0.0,0.0
9,-5.33030649830614,-18.960788882296463,-18.597750339191897,-18.8368277381536,-11.934420184316778,-16.351394836090716,-3.7458959023758553,2.4723032069970623,8.38780369290572,-2.546005835770044,-11.50849306987374,-44.05850340136055,-17.987437163654725,8.352557860925804,-0.8109285691076229,-13.80905573236858,-23.89915850504338,-10.791438909393015,13.512004743658286,-3.4056122448979456,-14.109693877550987,-20.16736138115569,-6.7239938858435115,-1.4285714285714333,-5.112616303952372,2.2384779062818634,-3.6768393086344164,-2.1512428640250083,-2.8819703294894228,-1.9170570186057303,-6.175045948970946,0.8317164610527933,-4.81409137196468,-2.4110551202527315,-1.170718179085759,1.4371527264065311,-1.8542274052477805,0.25510204081630655,-1.1846452866860953,0.05102040816330952,-5.45317551481245,2.6722684737905253,-2.5583003978993184,-4.737450715908187,0.0,0.0
