frame,ball_x,3269_x,3270_x,3271_x,11005_x,12132_x,14856_x,19900_x,19901_x,19902_x,20705_x,ball_y,3269_y,3270_y,3271_y,11005_y,12132_y,14856_y,19900_y,19901_y,19902_y,20705_y,stretch_index,Time [s],11005_vx,11005_vy,11005_speed,12132_vx,12132_vy,12132_speed,14856_vx,14856_vy,14856_speed,19900_vx,19900_vy,19900_speed,19901_vx,19901_vy,19901_speed,19902_vx,19902_vy,19902_speed,20705_vx,20705_vy,20705_speed,3269_vx,3269_vy,3269_speed,3270_vx,3270_vy,3270_speed,3271_vx,3271_vy,3271_speed
0,-35.08650842304128,-31.158754040000122,-37.961972323092525,-35.066345977111915,-16.18931401788273,-22.76296134919139,-50.1156462585034,-28.41515819146721,-32.2956515209857,-36.96291148778803,-10.455782312925166,29.516158835272563,10.095252912790224,3.8112622899189748,-7.666409955908573,-6.349354400845698,4.769510714364247,-0.7142857142857094,18.58358053029519,21.73604925995677,23.15563608486977,6.857142857142862,28.6239996095788,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-35.109860063449695,-31.48598883530981,-38.22686620516793,-35.37897974610655,-16.43145760765244,-22.982900181537676,-50.11303160027746,-28.765133336651367,-32.791923337189445,-37.020877221571126,-10.728175745393266,29.355207505142687,10.06018284914908,3.836972532601539,-7.536855080884951,-6.34019750338905,4.747003106655364,-0.71533405794642,18.535889782065947,21.504347548810244,23.451659021403277,6.913947843059735,28.793222922934454,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-35.128241764700554,-31.79790689325983,-38.4776503295667,-35.67801358724906,-16.675076363391646,-23.204042958893623,-50.111170135779155,-29.0979480541726,-33.26748012043889,-37.07228683234731,-10.995042225814561,29.210069745679363,10.024910284308582,3.859688940799453,-7.41410462805813,-6.3268990843275965,4.727348045397137,-0.7160804096060732,18.490356173146083,21.275639933287657,23.7300467872184,6.969600237189311,28.954926733170367,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-35.14180126584999,-32.09482217884206,-38.7146353670646,-35.963739804740314,-16.920067329086727,-23.426184271235183,-50.10999730554612,-29.413839232668742,-33.72268768136562,-37.117299994400895,-11.256435068839018,29.07958887941824,9.989439295182244,3.8794712359809833,-7.298005142036446,-6.309656049911047,4.710492952966631,-0.7165506542934094,18.446955048044178,21.049973550352224,23.991114845406834,7.02411115778031,29.109179732653274,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-35.15068630595421,-32.37704865704846,-38.93813198843736,-36.23645070278115,-17.166327548724144,-23.649118708538374,-50.10944855011598,-29.713043760777587,-34.157911830601236,-37.15607638201615,-11.512407589116572,28.96260822889505,9.953773958683609,3.8963791396144782,-7.1884031674282545,-6.288665306389149,4.696385251740945,-0.7167706770370185,18.4056617512688,20.827395536967078,24.235178659060352,7.07749172308149,29.25606511172566,0.2,-4.921086152204939,0.4119386204490765,4.938297514775786,-4.450472345103863,-0.2842571294299948,4.459541031335631,0.013557487097476239,-0.005435856018512882,0.01460664188142632,-5.993566107689584,-0.8268521551649956,6.050332154001652,-8.719115409976478,-4.449674789176418,9.78890081990422,-0.7819147236766962,4.893894796740129,4.955965790505672,-5.1215829915501025,1.0680560359736826,5.231764141789566,-5.657088163804512,-0.7131436534319844,5.7018611315505945,-4.482359258485522,0.3405469314022343,4.495277158821061,-5.465910128850918,2.1981777078298514,5.891363065698393
5,-35.15504462406932,-32.644900292870936,-39.14845086446076,-36.49643858557243,-17.413754066290277,-23.8726408607792,-50.109459310026374,-29.99579852713695,-34.57351837877734,-37.18877566947736,-11.763013101297252,28.857971116645487,9.917918351726192,3.9104723731682207,-7.085145248841896,-6.264123760011617,4.6849723640971765,-0.7167663628655779,18.366451627328473,20.607953030095377,24.462553691270685,7.129753051341598,29.39567789106019,0.25,-4.944412110779703,0.482954677561777,4.967942868210524,-4.46222664385653,-0.2303608577915967,4.468168835881831,0.0023671802868615735,-0.0009491177175188373,0.0025503660427895853,-5.664570872700127,-0.7851886984631711,5.718731018682114,-8.326763388786457,-4.386964658907329,9.411718623680608,-0.6603727205960499,4.560119167876562,4.6076869419853885,-5.01424282961204,1.0456712951524771,5.122114759727823,-5.3695913161258035,-0.7169490626078101,5.417243474368478,-4.218804351498083,0.2842535298074912,4.228369688831285,-5.211449823859766,2.0712965873932223,5.607983489593635
6,-35.1550239592515,-32.89869105130138,-39.34590266591054,-36.74399575731501,-17.66224392577159,-24.096545317933646,-50.10996502581494,-30.26234042038467,-34.96987313652554,-37.215557531068846,-12.008304920030964,28.764520865205284,9.881876551223495,3.9218106581105476,-6.988077930885748,-6.236228317028171,4.67620171241241,-0.7165635968077553,18.329300020731846,20.39169316670032,24.673555405129594,7.1809062608094285,29.528122750529178,0.30000000000000004,-4.965678949082946,0.5500326096800302,4.996048768484645,-4.469872742129104,-0.17751613861144783,4.473396283618999,-0.007531937276386966,0.0030199200102206834,0.008114801045223401,-5.340313410467011,-0.744018351589923,5.391893046928544,-7.941727580228468,-4.323311789374873,9.04223765373977,-0.5420242032012367,4.232652800847834,4.267216888017406,-4.907968960673174,1.0235089193062459,5.013554609938018,-5.088373768285328,-0.7206729335132321,5.139155288845901,-3.9614628600257213,0.22915455757895534,3.9680851556666945,-4.9628356028856855,1.9474845747895608,5.3312693976494
7,-35.150772050556895,-33.1387348973317,-39.53079806356246,-36.97941452220974,-17.91169417115446,-24.32062666997774,-50.11090113801929,-30.512906329158564,-35.34734191447747,-37.23658164107487,-12.248336359967702,28.681100797110116,9.84565263408903,3.930453715909757,-6.897047758168125,-6.205175883688521,4.670020719063749,-0.7161882638921889,18.294182275987442,20.178663083745022,24.868499263728815,7.230962469733651,29.653512259089553,0.35000000000000003,-4.984886667114493,0.6131724168036534,5.022457117458014,-4.473410639921757,-0.1257229718893755,4.47517698186629,-0.01613986559222878,0.006471257164856986,0.017388859382631263,-5.020793720990174,-0.7033411145453019,5.0698183707253435,-7.564007984302593,-4.258716180579226,8.680488482413919,-0.42686917149221615,3.9114956956540476,3.934719286898443,-4.8027613847337545,1.0015689084350246,4.9060836924204025,-4.813435520283186,-0.72431526614821,4.867627154240475,-3.710334784068315,0.17525001471668641,3.7144712648673797,-4.720067465928659,1.8267416700189694,5.061227322685861
8,-35.142436637041655,-33.36534579595384,-39.70344772819226,-37.20298718445747,-18.162001846425337,-24.544679506887462,-50.11220308717706,-30.74773314209641,-35.706290523264705,-37.252007673779744,-12.48316073575748,28.606554234895697,9.809250677236346,3.936461268034161,-6.811901275297323,-6.171163366242428,4.666376806428305,-0.7156662491475516,18.261073737603837,19.96890991819268,25.047700730160074,7.279932796363102,29.771965427247256,0.4,-5.002035264874464,0.6723740989328444,5.047023253360688,-4.472840337234355,-0.07498135762549651,4.4734687756127345,-0.02345660466072477,0.00940489374622512,0.025271808969429144,-4.706011804269688,-0.6631569873293078,4.7525071585184735,-7.19360460100883,-4.193177832520313,8.326505118643425,-0.31490762546902873,3.5966478522951197,3.610407537383784,-4.698620101793749,0.9798512625388941,4.799702007174962,-4.5447765721192255,-0.7278760605128554,4.602694607504553,-3.4654201236260462,0.12253990122051685,3.4675859990234557,-4.483145412988704,1.7090678730815383,4.797864711389965
9,-35.130165457761954,-33.5788377121597,-39.8641623305757,-37.41500604825905,-18.413063995570678,-24.76849841863881,-50.11380631382589,-30.967057747836055,-36.047084773518854,-37.26199530346774,-12.712831362050173,28.539724501097716,9.772674757578951,3.939893035952087,-6.7324850268817835,-6.134387670939586,4.66521739688313,-0.715023437602496,18.22994975008961,19.76248080700645,25.21147526751514,7.327828358946497,29.883606518705108,0.45,-5.017124742362903,0.7276376560675752,5.069615097712798,-4.468161834067032,-0.025291295819734733,4.468233412105673,-0.029482154481814037,0.011820829754462442,0.03176364980561164,-4.395967660305533,-0.6234659699418693,4.439959626632618,-6.8305174303472,-4.126696745198045,7.980325456590418,-0.20613956513175574,3.2881092707711033,3.2945646293317097,-4.595545111853083,0.958355981617885,4.69440955420163,-4.2823969237935176,-0.7313553166070866,4.3443991543187686,-3.2267188786987533,0.07102421709070812,3.227500451055629,-4.252069444065762,1.5944631839771868,4.541190086554006
