frame,ball_x,851_x,852_x,853_x,854_x,855_x,856_x,857_x,5165_x,16125_x,20144_x,ball_y,851_y,852_y,853_y,854_y,855_y,856_y,857_y,5165_y,16125_y,20144_y,16125_vx,16125_vy,20144_vx,20144_vy,5165_vx,5165_vy,851_vx,851_vy,852_vx,852_vy,853_vx,853_vy,854_vx,854_vy,855_vx,855_vy,856_vx,856_vy,857_vx,857_vy
0,52.22579326503804,50.724097849315825,49.489094914348996,39.57808039168388,44.99633116401821,44.5569878650781,46.80270667641004,44.25270953992668,45.434626838104165,24.156462585034006,50.70626507686252,-33.57040396564937,-17.524093140168436,-21.140020209957374,-17.166927551545403,-8.348033941838402,-4.1577281096514325,-0.4834331760333552,0.6335297833704829,2.5891584878566434,-12.714285714285719,-2.414503141168971,,,,,,,,,,,,,,,,,,,,
1,52.21751697165879,50.66473086543286,49.479650263220464,39.56852169427728,44.98285581739827,44.50368668488653,46.813781525379916,44.234030900683656,45.421738023969645,24.234283919844955,50.64844994655289,-33.576037623833024,-17.378576941257975,-21.066473691435583,-17.162648022433757,-8.265773149087131,-4.115708082950107,-0.46397242206022243,0.6158463520725176,2.592396592462315,-12.683457577904068,-2.3391706260400205,,,,,,,,,,,,,,,,,,,,
2,52.20937552943674,50.60526454626194,49.46852309450343,39.55903699438617,44.96903374459958,44.452468232107584,46.82479135547596,44.21501582754462,45.4089122902015,24.3151913475251,50.592447353566676,-33.5815794890738,-17.240478367919355,-20.9923854118653,-17.158401622786084,-8.183681746218383,-4.0715568162813724,-0.4441263286004164,0.598086442766161,2.5957073071806533,-12.652259192710002,-2.2666164871125707,,,,,,,,,,,,,,,,,,,,
3,52.2013667411523,50.54571768965842,49.45573479737539,39.54962425538161,44.954874488544554,44.403275183968574,46.83573795620838,44.195670699690695,45.39614790064288,24.39913613911473,50.53822952638159,-33.5870310570152,-17.10966624776247,-20.91777233715785,-17.15418744078231,-8.10175507112533,-4.025332967626021,-0.42390550132784854,0.5802475804399294,2.5990886335681593,-12.620698034809333,-2.1968010371993056,,,,,,,,,,,,,,,,,,,,
4,52.193488445386485,50.486109093477495,49.441306761013834,39.540281440634836,44.9403875921555,44.35605021769657,46.84662311708755,44.17600189630319,45.38344311913695,24.486069565654205,50.48576869347548,-33.59239379893123,-16.986009408397233,-20.8426514332247,-17.150004564602334,-8.019988461701086,-3.977095194964773,-0.40332054591650746,0.5623272900823583,2.602538573181358,-12.588781580307948,-2.1296845891129332,1.736719372402565,0.6380300457942869,-1.0503275190114891,1.343916449219253,-0.2541650763935722,0.0689188545255754,-1.1914200094079366,2.478383682908845,-0.2877051601320853,1.501739442207892,-0.18693776009066754,0.08369399640409976,-0.28935621088692187,1.6355186727592954,-0.9467922363531855,0.962409133994886,0.21777479799439442,0.4112748812690281,-0.3931209005008489,-0.3585048076102771
5,52.18573851593786,50.426457555574466,49.42526037459621,39.53100651351689,44.925582598354836,44.31073601051873,46.85744862762366,44.15601579656332,45.370796209526794,24.57594289818381,50.4350370833261,-33.59766916212348,-16.86937667743353,-20.767039665977176,-17.145852082426018,-7.938377255838798,-3.926902156278378,-0.3823820680403239,0.544323096681988,2.606055127576825,-12.55651730531166,-2.065227455666145,1.79551749220587,0.6449864556922791,-1.0157430638773843,1.2907301564272462,-0.2530076384778924,0.0702511501704934,-1.1922788438503622,2.337901514878199,-0.32007216125305954,1.5115567084950499,-0.18558000751328657,0.08308611633075152,-0.29571815912009114,1.6324106015202158,-0.908577054469057,1.0015144544975485,0.21658179113426201,0.4183453305660164,-0.3994668275481469,-0.3601828684664945
6,52.17811486124855,50.366781873804534,49.407617027300034,39.52179743739899,44.910469050064776,44.26727523966234,46.86821627732708,44.13571877965231,45.35820543565556,24.66870740774393,50.386006924411156,-33.6028585703116,-16.75963688248125,-20.69095400132668,-17.14172908243327,-7.856916791431601,-3.8748125095476076,-0.3611006733732285,0.5262325252273107,2.6096362983110506,-12.523912685926293,-2.003389949671687,1.8533410328155597,0.6517933434734349,-0.9817140391877948,1.238337607381246,-0.25188492369951276,0.07154347694593888,-1.192761721187269,2.20004279464954,-0.35201137882448763,1.521034656554637,-0.18426298751332326,0.08249647265951612,-0.30188924890643826,1.6293957724182104,-0.8715083280412118,1.0394466153851436,0.21542457447982394,0.4252036663840321,-0.40568517097099743,-0.36191042955218067
7,52.17061542383992,50.30710084602305,49.388398108302766,39.51265217565215,44.895056490207786,44.225610582354484,46.87892785570808,44.11511722475138,45.345669061366415,24.764314365374904,50.3386504452085,-33.60796342401774,-16.65665885115034,-20.61441140518461,-17.137634652803968,-7.7756024063726485,-3.8208849127532223,-0.3394869675891954,0.5080531007068859,2.6132800869405948,-12.490975198257718,-1.9441323839422324,1.9101899942319887,0.658450709137739,-0.9482404449429032,1.186738802081074,-0.2507969320585346,0.07279583485211738,-1.1928686414191247,2.064807522222856,-0.38352281284628836,1.5301732863863395,-0.1829867000905746,0.08192506539041387,-0.30786948024565874,1.6264741854534293,-0.8355860570702995,1.076205616657635,0.21430314803128325,0.43184988872306135,-0.41177593076895397,-0.3636874908673221
8,52.163238179757045,50.24743327008523,49.36762500678189,39.50356869164763,44.879354461706235,44.18568471582236,46.88958515227691,44.094217511041805,45.33318535050238,24.86271504211701,50.2929398741958,-33.61298510094434,-16.560311411050606,-20.537428843462315,-17.133567881717994,-7.694429438555056,-3.765178023875965,-0.3175515563621167,0.4897823481092445,2.616984495021988,-12.45771231841177,-1.8874150712904842,1.9660643764550043,0.6649585526853585,-0.9153222811426684,1.1359337405267473,-0.24974366355516098,0.07400822388896293,-1.192599604545502,1.9321956975983108,-0.4146064633185022,1.5389725979904816,-0.18175114524524358,0.08137189452367821,-0.3136588531378541,1.6236458406258842,-0.8008102415555486,1.1117914583150752,0.21321751178849774,0.43828399758329745,-0.417739106942199,-0.365514052411808
9,52.155981138022774,50.1877979438464,49.34531911191486,39.494544948756506,44.863372507482325,44.14744031729316,46.9001899565439,44.07302601770477,45.32075256690667,24.963860709010547,50.24884743985095,-33.617924956346016,-16.470463389792016,-20.460023282071177,-17.129527857355253,-7.613393225872009,-3.707750500896572,-0.29530504536600516,0.4714177924228977,2.620747524111732,-12.4241315224943,-1.8331983245291346,2.020964179484617,0.6713168741160604,-0.8829595477870708,1.0859224227183182,-0.24872511818916862,0.07518064405638669,-1.1919546105665642,1.8022073207757923,-0.44526233024110884,1.5474325913669413,-0.1805563229772084,0.08083696005911631,-0.3192573675833085,1.6209107379354135,-0.7671808814973854,1.1462041403574115,0.2121676657515487,0.4445059929645747,-0.42357469949089516,-0.3673901141857211
