frame,ball_x,13_x,747_x,21030_x,21031_x,21032_x,21033_x,21034_x,24770_x,24771_x,ball_y,13_y,747_y,21030_y,21031_y,21032_y,21033_y,21034_y,24770_y,24771_y,stretch_index,Time [s],13_vx,13_vy,13_speed,21030_vx,21030_vy,21030_speed,21031_vx,21031_vy,21031_speed,21032_vx,21032_vy,21032_speed,21033_vx,21033_vy,21033_speed,21034_vx,21034_vy,21034_speed,24770_vx,24770_vy,24770_speed,24771_vx,24771_vy,24771_speed,747_vx,747_vy,747_speed
0,52.22579326503804,46.221768707483015,52.22579326503804,28.77142857142857,25.887074829931976,41.77382149555632,41.318367346938786,44.34693877551021,15.9360544217687,15.647619047619045,-33.57040396564937,-14.142857142857142,-33.57040396564937,-6.0000000000000036,-21.57142857142857,-22.316219704271564,0.7142857142857141,2.8571428571428563,-3.4285714285714213,5.142857142857143,33.71151691525233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52.21751697165879,46.19558897879932,52.35904169105952,28.72766908902851,25.866138070140703,41.74292558947898,41.23294157577077,44.27018806019787,15.999776667781722,15.732828309245926,-33.576037623833024,-14.089797613331529,-33.603902690964446,-6.00758566499152,-21.533126293796855,-22.397082869818497,0.6996188222489402,2.8023929920187576,-3.425918468365203,5.1293343740456985,33.70603618547863,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,52.20937552943674,46.16953284488358,52.48093348950499,28.68689836633214,25.845501108132552,41.715543427879616,41.148547108455304,44.195242848645826,16.064972495614,15.81979574953895,-33.5815794890738,-14.035613644671125,-33.63489869650017,-6.014653231307992,-21.494641263715152,-22.477246058453986,0.6856737959315257,2.7492008554083385,-3.4231577261263664,5.116175606735967,33.69991690963961,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,52.2013667411523,46.14360812003014,52.59175303102527,28.649084840539935,25.825158394530618,41.69161373398943,41.065162924617695,44.12208075189453,16.131623709740133,15.908499009998314,-33.5870310570152,-13.980326592261166,-33.66345452515153,-6.021208170330925,-21.45596950894675,-22.55671618953441,0.6724424218504979,2.697540503557464,-3.420290506872313,5.103375803329618,33.693180304839615,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,52.193488445386485,46.11782261853347,52.69178468627106,28.614196948852452,25.805104379957925,41.671075231039566,40.98276800388334,44.050679380984434,16.19971211463487,15.998915732124154,-33.59239379893123,-13.92395781148681,-33.68963271981341,-6.027255953441856,-21.417107057254906,-22.63550018241624,0.6599164865228505,2.647385992711997,-3.4173181156205503,5.090929926228267,33.68584820218206,0.2,-0.515397458156274,1.1265214000790582,1.238824041060727,-0.6990203457296623,-0.1211745174790784,0.7094453519689196,-0.40130226653244805,0.7774079233068676,0.874875184437401,-0.41322112974969266,-1.5759566318923897,1.6292301886710845,-1.6487392296726608,-0.2508472458721785,1.6677126215937974,-1.4289229765823965,-1.0041279670752978,1.746451787845249,1.3610402768817713,0.059395624336896644,1.3623356691670296,1.8074401025228728,-0.24911904596145257,1.8245273424283444,2.0120079309463024,-0.526065609035271,2.079644426146083
5,52.18573851593786,46.092184154688,52.781312825893146,28.582203128470155,25.785333515037493,41.65386664226125,40.90134132587763,43.98101634695606,16.269219514772868,16.091023557416605,-33.59766916212348,-13.866528657733262,-33.71349582338077,-6.032802052022267,-21.37804993640283,-22.713604956455807,0.6480877764656063,2.5987113791177903,-3.4142418573885274,5.078832937833555,33.67794300677597,0.25,-0.5124567051323733,1.1477288596626778,1.25693810903231,-0.6411389196256626,-0.11114082686903867,0.6507006974453735,-0.3956392734871018,0.7813013065107757,0.8757637616851058,-0.3466228463191051,-1.5623722550478698,1.600360728377738,-1.6293743751003626,-0.23690274046401935,1.6465065328364354,-1.3941562389484015,-0.9745300220503327,1.7009939395765565,1.3894201817470526,0.061472963942229085,1.39077940980655,1.8412621658553514,-0.24214127182858644,1.8571157096242294,1.8019376184722493,-0.4797637871448045,1.8647124368977022
6,52.17811486124855,46.06670054278815,52.86062182054228,28.553071816593583,25.765840250392387,41.639926690885645,40.82086187022582,43.91306926084986,16.340127714628785,16.18480012737585,-33.6028585703116,-13.80806048638577,-33.73510637874856,-6.037851937453718,-21.33879417415385,-22.79103743100956,0.6369480781958071,2.5514907190206744,-3.4110630371937045,5.067079800547126,33.669487659757905,0.30000000000000004,-0.5093596662201247,1.1685092115423248,1.2747003753946033,-0.5838887495115077,-0.10121656388936426,0.5925967132980758,-0.3900872679808945,0.785274134449472,0.876825833832561,-0.28125009826492176,-1.5489262653315043,1.5742535352375202,-1.6104299280210097,-0.22312250471542092,1.6258130904800336,-1.3598372805048442,-0.945450952108251,1.6562110168372894,1.417436176105602,0.0635242031984998,1.4188589210083136,1.8746370591909969,-0.2352642496629212,1.8893420470792806,1.597554719013467,-0.4347128231532541,1.655643777766241
7,52.17061542383992,46.04137959712832,52.92999604086925,28.526771450423187,25.74661903664562,41.62919410014393,40.741308616553354,43.84681573370637,16.41241851867732,16.28022308350205,-33.60796342401774,-13.748574652829472,-33.754526928811714,-6.042411081117681,-21.299335798271166,-22.8678045254339,0.6264891782304516,2.505698068666502,-3.4077829600535074,5.055665476770635,33.66050560219114,0.35000000000000003,-0.5061063414191227,1.1888624557180958,1.2921058654153346,-0.5272698353870554,-0.09140172853992569,0.5351333995268645,-0.3846462500140291,0.7893264071230379,0.8780597443406791,-0.21710288558710192,-1.5356186627432222,1.5508895319446607,-1.5919058884343584,-0.2095065386265763,1.6056330051911842,-1.3259661012517856,-0.9168907572491011,1.6121025905312882,1.4450882599578867,0.06554934210544619,1.4465741582506475,1.9075647825296318,-0.22848797946449242,1.9212001864217814,1.3988592325698739,-0.3909127170602744,1.4524530646135945
8,52.163238179757045,46.01622913200299,52.989719857524804,28.503270467159528,25.727664324420218,41.62160759326729,40.66266054448564,43.78223337656593,16.48607373139319,16.3772700672953,-33.61298510094434,-13.688092512449591,-33.77182001646513,-6.046484954395684,-21.259670836518083,-22.943913159085252,0.6167028630865334,2.461307484301141,-3.4044029309854227,5.044584928905693,33.651020740715666,0.4,-0.5026967307297525,1.2087885921898027,1.3091500539260525,-0.47128217725265076,-0.08169632082089301,0.47831075613210833,-0.37931621958642425,0.7934581245314728,0.8794638081389925,-0.15418120828566578,-1.522449447283114,1.5302366367725897,-1.5738022563404082,-0.19605484219729202,1.5859669111337615,-1.2925427011891237,-0.8888494374730043,1.5686682112203818,1.4723764333036673,0.06754838066331686,1.4739250812297973,1.940045335871271,-0.22181246123331783,1.952684478658612,1.205851159141592,-0.3483634688661701,1.2551629872026946
9,52.155981138022774,45.99125696170653,53.040077641159705,28.482537304003113,25.70897056433924,41.617105893486894,40.58489663364795,43.71929980046913,16.56107515725096,16.475918720255798,-33.617924956346016,-13.626635420631311,-33.78704818460381,-6.05007902866927,-21.219795316657837,-23.019370251320012,0.6075809192811283,2.4182930221704506,-3.4009242550068914,5.033833119353945,33.641057414834336,0.45,-0.4991308341518113,1.2282876209575424,1.3258288235660824,-0.4159257751080502,-0.07210034073218755,0.42212878311355395,-0.37409717669811055,0.7976692866745133,0.8810363150956516,-0.09248506636065404,-1.509418618951191,1.5122493361665776,-1.5561190317392204,-0.182767415427707,1.5668153589632483,-1.2595670803170624,-0.861326992779862,1.5259074081705122,1.4993006961430153,0.06952131887204209,1.5009116533735882,1.9720787192160463,-0.2152376949693466,1.9837897419133206,1.0185304987286004,-0.3070650785708193,1.0638107629263933
