frame,ball_x,5_x,9_x,10_x,11_x,66_x,10475_x,10476_x,10477_x,10478_x,10479_x,10480_x,ball_y,5_y,9_y,10_y,11_y,66_y,10475_y,10476_y,10477_y,10478_y,10479_y,10480_y,10_vx,10_vy,10475_vx,10475_vy,10476_vx,10476_vy,10477_vx,10477_vy,10478_vx,10478_vy,10479_vx,10479_vy,10480_vx,10480_vy,11_vx,11_vy,5_vx,5_vy,66_vx,66_vy,9_vx,9_vy
0,38.55582392429285,34.871492435385335,38.55582392429285,30.019858198592626,27.252879696836857,37.87383187172252,35.63027744986351,43.13745361494432,38.927329624153714,40.39018455831776,42.45428919065121,50.98095238095236,-22.2498161949709,-2.4504037920660555,-22.2498161949709,3.2326968245385252,-6.102473475407193,3.3208526128503784,-20.686462625695093,-17.70061156771642,-11.873700095853266,-7.684098341516652,-1.0410944245706544,-2.9999999999999964,,,,,,,,,,,,,,,,,,,,,,
1,38.31522976791554,34.827839865638275,38.31522976791554,29.966037983413294,27.247171253276406,37.848316045329504,35.457616094886575,43.210586848132436,38.93965276100449,40.3860451500314,42.488862148892004,50.98095238095236,-22.18880172248273,-2.480033834745877,-22.18880172248273,3.186994970837671,-6.171277155169154,3.2663248657743313,-20.818318159199606,-17.75677236441502,-11.966544231846092,-7.739434995626329,-1.1022760904225766,-2.9999999999999964,,,,,,,,,,,,,,,,,,,,,,
2,38.09500957822209,34.78171869024404,38.09500957822209,29.905356153330654,27.234587112072134,37.82053899006407,35.292120862236324,43.27783777060388,38.94941751167956,40.37878854332298,42.51831655394512,50.98095238095242,-22.116925073721667,-2.508116098776858,-22.116925073721667,3.1410726078975473,-6.2380839541745265,3.2179304272388354,-20.953110306221195,-17.81078651010013,-12.053151215459266,-7.790074085862395,-1.159400375264319,-2.9999999999999964,,,,,,,,,,,,,,,,,,,,,,
3,37.89427889200251,34.73313664332495,37.89427889200251,29.838033011496176,27.215325083478,37.79043863609141,35.13347335647531,43.33928368379714,38.956657795126475,40.36845688111107,42.54273023561361,50.98095238095236,-22.034757059633392,-2.534614691932969,-22.034757059633392,3.0950961017698506,-6.302758482217679,3.1755930981933886,-21.090699344902497,-17.862682214640238,-12.133620951035562,-7.836095298728544,-1.2125310567967498,-2.9999999999999822,,,,,,,,,,,,,,,,,,,,,,
4,37.71215324604688,34.68210145900329,37.71215324604688,29.764288861061587,27.18958297774793,37.75795291357694,34.98135518216605,43.395001889151125,38.96140753029246,40.35509230631432,42.56218102370051,50.98095238095236,-21.942868491163594,-2.5594937219881224,-21.942868491163594,3.049231818506257,-6.365165349093015,3.139236679587478,-21.230945553386054,-17.912487687903816,-12.20805334291781,-7.877578320728547,-1.2617319127206985,-2.9999999999999822,-1.4660708826290298,-0.910631023204302,-3.0550993036849707,-2.7993352953748127,1.117456164627555,-0.9972378600116371,0.09635146121293504,-1.4926440113568922,-0.2656057791941788,-0.8328479001492461,0.3921289538595423,-0.9865682265126451,-1.262177448353619e-28,4.060244204343428e-14,-0.5069297044445367,-1.2427217292810484,-1.0203943215414513,-0.496144912060874,-0.6521972436784802,-0.7301763341388233,-3.677891447511508,1.8149389315681725
5,37.54774817714519,34.62862087140134,37.54774817714519,29.684344005178353,27.157558605135776,37.72301975268583,34.835447943870946,43.44506968810438,38.96370063612482,40.33873696185111,42.576746748008844,50.98095238095236,-21.84183017925797,-2.582717296716284,-21.84183017925797,3.003646124158471,-6.425169164594866,3.1087849723705734,-21.37370920981449,-17.960231139759383,-12.276548295448798,-7.914602838366123,-1.307066720737,-2.9999999999999822,-1.5900849916009665,-0.9050592448883039,-2.9308805833997353,-2.8496842542721215,1.0044480366150308,-0.9559974318514617,0.04721887454142655,-1.3738952243317113,-0.32542117252197444,-0.7436778129006452,0.29442767828840033,-0.9092472683599294,1.624097681737371e-13,4.060244204343428e-14,-0.6325750420846633,-1.1946607018114617,-1.06930238714682,-0.46303580552081053,-0.7011460112099955,-0.6120821063584395,-3.323479906432303,1.9979338002845686
6,37.40017922208753,34.57270261464147,37.40017922208753,29.598418746998117,27.119449775895614,37.68557708358351,34.69543324615275,43.48956438209576,38.96357103157095,40.319432990640124,42.586505238341694,50.98095238095242,-21.732212934862233,-2.604249523891377,-21.732212934862233,2.95850538477816,-6.482634538517579,3.084161777492177,-21.518850592330367,-18.00594078007546,-12.33920571297133,-7.947248538144989,-1.3485992585465316,-2.9999999999999822,-1.7096930375412607,-0.8961601455385559,-2.8130297718640964,-2.897238776021211,0.8929859373765224,-0.9153212010611814,-0.0012353331826935772,-1.2571445241624801,-0.384393707478787,-0.6561014557265209,0.19828299877817454,-0.8332018642241248,-1.624097681737373e-13,-2.524354896707238e-29,-0.7542641746462664,-1.1438918702292253,-1.1180557703062886,-0.42920885445960744,-0.7513361754361166,-0.49551185958833466,-2.986757629552414,2.1695124500871747
7,37.268561917663824,34.51435442284583,37.268561917663824,29.506733389672466,27.07545430028127,37.645562836435055,34.56099269357377,43.528563272563964,38.96105263557824,40.2972225355998,42.59153432450205,50.98095238095236,-21.61458756892204,-2.6240545112873614,-21.61458756892204,2.9139759664170195,-6.53742608065556,3.06529089590179,-21.666229979076277,-18.049644818720495,-12.396125499828178,-7.975595106568888,-1.3863933038500802,-2.9999999999999822,-1.8248950204496799,-0.8839337251550499,-2.7015468690780966,-2.941998860621981,0.7830698669127806,-0.8752091676408166,-0.049011161960298276,-1.1423919108493152,-0.4425233840648803,-0.5701188286271223,0.10369491532880408,-0.7584320141051191,-1.7670484276950664e-28,0.0,-0.8719971021291428,-1.0904152345343299,-1.1666544710197155,-0.3946640588771556,-0.8027677363563968,-0.3804655938283766,-2.667724616871701,2.32967488097599
8,37.15201180066423,34.45358403013689,37.15201180066423,29.409508236352956,27.025769988546774,37.602914941406006,34.43180789069667,43.5621436609477,38.95617936709399,40.27214773964871,42.591911836292944,50.98095238095242,-21.48952489238313,-2.6420963666781607,-21.48952489238313,2.8702242351267646,-6.5894084008031655,3.0520961285488775,-21.81570764819485,-18.091371465563032,-12.44740756036219,-7.999722230141555,-1.420512634348552,-2.9999999999999822,-1.935690940326527,-0.8683799837377824,-2.5964318750416124,-2.983964508074653,0.6746998252233181,-0.8356613315903972,-0.0961086117908597,-1.0296373843921103,-0.4998102022802746,-0.48572993160227634,0.010663427939984378,-0.6849377180029828,1.6240976817373686e-13,0.0,-0.9857738245334651,-1.0342307947267593,-1.215098489287182,-0.3594014187735249,-0.8554406939710595,-0.2669433090787265,-2.3663808683904866,2.4784210929508426
9,37.049644407878745,34.39039917063684,37.049644407878745,29.306963590191213,26.97059465094594,37.55757132866143,34.30756044208389,43.590382848685664,38.94898514506562,40.24425074570541,42.58771560351748,50.98095238095236,-21.357595716191156,-2.6583391978377207,-21.357595716191156,2.8274165569590526,-6.6384461087547555,3.0445012763829182,-21.96714387782862,-18.131148930471543,-12.493151798916134,-8.019709595366677,-1.4510210277427626,-2.9999999999999964,-2.0420807971716917,-0.849498921286723,-2.4976847897543197,-3.023135718378974,0.567875812308419,-0.7966776929100252,-0.14252768267417482,-0.9188809447908647,-0.556254162124909,-0.4029347646519428,-0.0808114633880003,-0.6127189759177563,-1.7670484276950664e-28,0.0,-1.0955943418588883,-0.9753385508064327,-1.2633878251085657,-0.32342093414868844,-0.9093550482797799,-0.15494500533921823,-2.082726384108488,2.615751086011925
