frame,ball_x,15_x,1779_x,3969_x,5047_x,6593_x,6594_x,10286_x,17595_x,ball_y,15_y,1779_y,3969_y,5047_y,6593_y,6594_y,10286_y,17595_y,stretch_index,Time [s],10286_vx,10286_vy,10286_speed,15_vx,15_vy,15_speed,17595_vx,17595_vy,17595_speed,1779_vx,1779_vy,1779_speed,3969_vx,3969_vy,3969_speed,5047_vx,5047_vy,5047_speed,6593_vx,6593_vy,6593_speed,6594_vx,6594_vy,6594_speed
0,37.98138860190103,29.875830298871588,37.40034532336986,40.93275487445025,38.95966471147895,40.7934458332135,39.89326748944479,41.75785814824116,41.759019659225665,-2.8994250134774755,2.1240436634024196,-1.948003755512386,5.9851219705186685,9.762132564316135,-2.396343028745483,-10.577322707716576,-5.5687353463544715,14.417563480979473,27.11139384771366,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,37.96905746569544,29.72060799551625,37.372517072340244,40.80488204313751,38.81118827264094,40.55636677964306,39.782365176077704,41.5112758878247,41.72642634506279,-3.111377869438513,1.7737701060758357,-2.2561352344700922,5.935322105026752,9.622670939816459,-2.5595187110796487,-10.704495334506957,-5.4679398475582195,14.260519312660204,27.110483747461323,0.05,,,,,,,,,,,,,,,,,,,,,,,,
2,37.95524489586338,29.57805931677571,37.33466427164657,40.67887041966962,38.66497836199033,40.335727367980155,39.674156574236235,41.27152698716163,41.69049639467005,-3.3083251769012785,1.4469936591463448,-2.5493682196907126,5.886338111745058,9.488627976976758,-2.7081535391448157,-10.821329581228692,-5.376743107917522,14.108260680893126,27.107171329984986,0.1,,,,,,,,,,,,,,,,,,,,,,,,
3,37.94001239970883,29.44722164936285,37.28714651641834,40.55460545384764,38.52099683594581,40.13091860900562,39.568564341485796,41.038540722882445,41.651327028490705,-3.4907497427380054,1.142608477963913,-2.8280354688421276,5.8381478665076285,9.359900318326249,-2.8428274418663464,-10.928187716510983,-5.29477814185536,13.960633885202967,27.10147586480236,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
4,37.92342148453548,29.327132379990605,37.23032340178517,40.431972595472956,38.37920555092597,39.941331513499925,39.465511135391715,40.812246371617526,41.609015466968216,-3.6591343738210433,0.8595087178784527,-3.0924697395922234,5.790729245148523,9.236384606394147,-2.9641203481694807,-11.02543200898293,-5.221677963794699,13.81748522511445,27.093422914802918,0.2,-4.528715960079502,1.4766829842943983,4.763387542829516,-2.440289918927425,-5.706228987711501,6.206131173977702,-0.8423424127139916,-2.869121220780859,2.990216935239294,-1.12207848747959,-5.301995721716918,5.419429745385485,-2.4572391754446286,-0.9492573938190166,2.6342198019641163,-2.8373514436501677,-2.4744485374734735,3.76476543484296,-3.816101478887097,-2.449055283074034,4.534369005354232,-2.0641578192665726,-1.9593765946039856,2.846033053624157
5,37.90553365764728,29.216828895371947,37.16455452287669,40.310857294346675,38.23956636334951,39.76635709224381,39.364919613519476,40.592573209997425,41.56365893054599,-3.8139618770226,0.5965885342399304,-3.3430037896088796,5.74406012350185,9.117977483709671,-3.072612186979507,-11.113424727273639,-5.157075588158505,13.678661000152335,27.083043554132495,0.25,-4.396292167183954,1.3067269358049112,4.586384208066423,-2.24457422385618,-5.302637458773049,5.758131421353864,-0.9032419107092997,-2.782632518253131,2.9255580118844935,-1.3009937729863452,-5.023991307047865,5.189708416726489,-2.4268880304748355,-0.9342673995706439,2.600507851624855,-2.794309494782579,-2.3722767525210893,3.6654962205933423,-3.5238479938955436,-2.1930339332119297,4.1505303897575105,-2.0149241348316997,-1.7743451109796484,2.6848128132115012
6,37.88641042634797,29.115348582219756,37.090199474822434,40.191145000270154,38.10204112963507,39.60538635601798,39.26671243343421,40.379450514652525,41.51535463966736,-3.9557150592149815,0.3527420823982539,-3.579970376559944,5.698118377401657,9.00457559280202,-3.1688828872216996,-11.192528140012273,-5.100604029369752,13.544007509841316,27.07037365773498,0.30000000000000004,-4.265282841679111,1.1441105988559408,4.416064626105095,-2.0681107945263575,-4.921162822835732,5.33806386129812,-0.9621969998368789,-2.6992178252308108,2.865588933280354,-1.472717155901506,-4.752642045736277,4.975590641942615,-2.3988278894805144,-0.9197198886410313,2.5690971014952724,-2.7520304175418984,-2.272172116984429,3.5688145858642386,-3.243774293290613,-1.9486111618557111,3.784066215847931,-1.9672372990895934,-1.5965589999380925,2.5335791345866108
7,37.866113297941425,29.02172882724699,37.007617852752006,40.072721163044626,37.96659170620139,39.45781031560301,39.17081225270149,40.172807562213336,41.46419981477577,-4.0848767272704585,0.126863517703394,-3.8037022581133075,5.652881882682013,8.896075576200419,-3.2535123778213952,-11.26310451582797,-5.051896301851432,13.413371053706172,27.055453255843915,0.35000000000000003,-4.135687983565219,0.9888339734475184,4.252259131855649,-1.9108996309379276,-4.56180507989962,4.9458672633337715,-1.019207680096506,-2.6188771417138157,2.8102138314652905,-1.6372486362248495,-4.4879479377821765,4.777264885796414,-2.373058752461036,-0.9056148610299379,2.5399893935113593,-2.710514211927923,-2.1741346308634744,3.474730016300994,-2.9758803770728344,-1.715786969005069,3.435082086596295,-1.9210973120401522,-1.4260182614790242,2.3925181220629357
8,37.84470377973147,28.935007017166587,36.91716925179502,39.95547123247132,37.83317994946704,39.323019981779616,39.07714172888661,39.97257362931032,41.410291676314536,-4.201929688061299,-0.08215300449473147,-4.014532191936845,5.608328515177027,8.792374076434077,-3.3270805877038243,-11.325516123349834,-5.0105854200265005,13.286597931271608,27.038325948025268,0.4,-4.007507592841829,0.8408970595796106,4.094780210401353,-1.7729407330909195,-4.2245642299646695,4.581513044415561,-1.074273951488221,-2.541610467702137,2.75932025911803,-1.7945882139563751,-4.229908983185515,4.5948533016522575,-2.349580619416745,-0.8919523167373379,2.5131868260182886,-2.6697608779406723,-2.0781642941582437,3.383251391619721,-2.720166245241679,-1.4945613546602114,3.103710367382237,-1.876504173683234,-1.2627228956026113,2.2617995103301354
9,37.82224337902197,28.854220538691486,36.81921326708104,39.83928065835144,37.701767715850664,39.20040636532844,38.98562351955488,39.77867799257394,41.35372744472714,-4.307356748459818,-0.2754133288461614,-4.21279293569841,5.564436150720697,8.693367736032208,-3.3901674457943147,-11.380125231207025,-4.976304398317943,13.163534442062343,27.01903837249592,0.45,-3.8807416695095127,0.7002998572521688,3.9434218383955435,-1.65423410098508,-3.909440273030909,4.245022227180667,-1.1273958140123492,-2.4674178031959055,2.7127793749180333,-1.944735889096124,-3.9785251819463214,4.428392518930487,-2.3283934903472963,-0.8787322557634624,2.4886917493355436,-2.6297704155801673,-1.9842611068688087,3.294386828970289,-2.4766318977971475,-1.2849343188209765,2.7901185926175662,-1.8334578840193057,-1.1066729023088886,2.141563149939158
